This file was created by using the 202605 CRSP database.  It,,
contains a momentum factor, constructed from six value-weight portfolios formed,
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios,,
minus the average of the returns on two low prior return portfolios.  The portfolios,,
are constructed daily.  Big means a firm is above the median market cap on the NYSE,,
at the end of the previous day; small firms are below the median NYSE market cap.,,
Prior return is measured from day - 250 to - 21.  Firms in the low prior return,,
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above,,
the 70th NYSE percentile.,,
,,
Missing data are indicated by -99.99 or -999.,,
,,
,Mom,
19290313,0.41,
19290314,0.75,
19290315,-0.31,
19290316,0.18,
19290318,-0.49,
19290319,0.14,
19290320,-0.94,
19290321,0.03,
19290322,-0.49,
19290323,-0.2,
19290325,-0.96,
19290326,0.47,
19290327,0.53,
19290328,0.18,
19290401,-0.36,
19290402,-0.83,
19290403,-0.2,
19290404,1.02,
19290405,0.06,
19290406,-0.29,
19290408,-0.49,
19290409,-0.43,
19290410,0.44,
19290411,0.93,
19290412,-0.39,
19290413,-0.58,
19290415,-0.86,
19290416,0.19,
19290417,0.92,
19290418,0.11,
19290419,-0.26,
19290420,0.23,
19290422,1.15,
19290423,-0.18,
19290424,-0.6,
19290425,0.46,
19290426,-0.09,
19290427,0.61,
19290429,0.49,
19290430,1.37,
19290501,0.55,
19290502,0.9,
19290503,0.17,
19290504,-0.35,
19290506,-0.12,
19290507,-0.92,
19290508,-0.19,
19290509,0.13,
19290510,0.69,
19290511,0.35,
19290513,-1.16,
19290514,1.1,
19290515,-0.26,
19290516,-0.09,
19290517,0.53,
19290518,-0.26,
19290520,-1.54,
19290521,0.89,
19290522,-0.97,
19290523,1.38,
19290524,-0.7,
19290525,0.27,
19290527,-1.08,
19290528,1.37,
19290529,-0.32,
19290531,0.13,
19290601,0.66,
19290603,-0.1,
19290604,1.12,
19290605,-0.05,
19290606,-0.05,
19290607,-0.07,
19290608,-0.31,
19290610,-0.15,
19290611,0.87,
19290612,0.46,
19290613,0.39,
19290614,0.44,
19290615,0.38,
19290617,-0.49,
19290618,0.21,
19290619,-0.25,
19290620,0.65,
19290621,0.14,
19290622,0.06,
19290624,0.35,
19290625,0.57,
19290626,0.79,
19290627,0.87,
19290628,1.35,
19290629,0.38,
19290701,-0.15,
19290702,0.91,
19290703,0.02,
19290705,-1.29,
19290706,-0.1,
19290708,-0.75,
19290709,0,
19290710,0.22,
19290711,0.85,
19290712,0.76,
19290713,0.08,
19290715,0.05,
19290716,0.83,
19290717,0.78,
19290718,0.38,
19290719,0.78,
19290720,0.21,
19290722,0.02,
19290723,0.52,
19290724,0.42,
19290725,0.02,
19290726,0.68,
19290727,-0.3,
19290729,-0.55,
19290730,0.16,
19290731,0.76,
19290801,0.87,
19290802,0.69,
19290803,-0.91,
19290805,0.43,
19290806,0.04,
19290807,0.6,
19290808,0.36,
19290809,-0.36,
19290810,0.24,
19290812,0.79,
19290813,0.43,
19290814,0.3,
19290815,-0.54,
19290816,-0.82,
19290817,0.4,
19290819,0.13,
19290820,-0.1,
19290821,-1.01,
19290822,1.08,
19290823,0.36,
19290824,0.35,
19290826,0.89,
19290827,0.46,
19290828,-0.36,
19290829,0.12,
19290830,1.15,
19290903,0.8,
19290904,-1.63,
19290905,0.33,
19290906,-0.14,
19290907,0.22,
19290909,0.76,
19290910,0.03,
19290911,0.11,
19290912,-0.54,
19290913,0.03,
19290914,-0.41,
19290916,-0.62,
19290917,0.09,
19290918,1.15,
19290919,0.43,
19290920,0.73,
19290921,-0.23,
19290923,0.82,
19290924,-0.57,
19290925,0.31,
19290926,0.78,
19290927,-0.59,
19290928,-0.18,
19290930,0.34,
19291001,0.28,
19291002,0.08,
19291003,-0.09,
19291004,0.54,
19291005,-1.69,
19291007,-0.5,
19291008,-0.21,
19291009,0.25,
19291010,1.74,
19291011,0.48,
19291014,-0.96,
19291015,-0.2,
19291016,-1.36,
19291017,0.91,
19291018,0,
19291019,-0.25,
19291021,0.42,
19291022,1.4,
19291023,-0.16,
19291024,2.58,
19291025,-0.41,
19291026,-1.89,
19291028,-1.07,
19291029,3.29,
19291030,2.59,
19291031,-0.76,
19291104,-2.91,
19291106,-0.39,
19291107,2.56,
19291108,-1.85,
19291111,-1.35,
19291112,1.87,
19291113,1.79,
19291114,0.52,
19291115,-2.83,
19291118,-1.23,
19291119,0.88,
19291120,-0.16,
19291121,0.79,
19291122,-1.05,
19291125,0.49,
19291126,1.04,
19291127,0.54,
19291202,0.25,
19291203,-1.23,
19291204,0.28,
