window,sensitivity,y,n,G,G1,coef,se_hc3,p_hc3,se_cv1,p_cv1,se_cv3,p_cv3,ci_cv3_lo,ci_cv3_hi,mde80_cv3,treated_mean,control_mean,p_wcr,B_wcr,row_type,hc3_status,test,p_bh
90,two-digit SIC FE,exec_departure_90_rd,405,119,13,0.0417,inf,1.0,0.0522,0.4256,0.0788,0.5974,-0.1143,0.1977,0.2226,0.1009,0.1453,0.4839,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 two-digit SIC FE 90d,0.9864
90,breach_date anchor,exec_departure_90_bd,405,119,13,-0.0717,0.0465,0.1241,0.0528,0.1771,0.0679,0.2934,-0.2062,0.0628,0.1919,0.1284,0.1419,0.2216,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 breach_date anchor 90d,0.9864
90,excluding pre-announced departures,exec_departure_nopre_90_rd,405,119,13,-0.0046,0.0399,0.9081,0.0453,0.9192,0.0667,0.945,-0.1367,0.1275,0.1884,0.0917,0.1216,0.929,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 excluding pre-announced departures 90d,0.9864
90,excluding the F2 baseline control,exec_departure_90_rd,405,119,13,-0.037,0.0437,0.3975,0.0543,0.4965,0.08,0.6446,-0.1955,0.1215,0.2261,0.1009,0.1453,0.6052,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 excluding the F2 baseline control 90d,0.9864
90,restatement-dated outcome (rs),rs_exec_departure_90_rd,405,119,13,-0.0107,0.0463,0.8172,0.0632,0.8658,0.0966,0.9119,-0.202,0.1806,0.2729,0.1284,0.1453,0.8938,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 restatement-dated outcome (rs) 90d,0.9864
90,"recall-corrected, audit point estimates (r_T=0.842, r_C=0.750)",y_corr,405,119,13,-0.0682,0.0552,0.217,0.0643,0.291,0.1034,0.5107,-0.2731,0.1366,0.2922,0.1198,0.1937,0.4043,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),"F3 recall-corrected, audit point estimates (r_T=0.842, r_C=0.750) 90d",0.9864
90,"recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927)",y_corr,405,119,13,0.0096,0.0586,0.8703,0.0644,0.8821,0.0961,0.9208,-0.1808,0.1999,0.2715,0.1671,0.1567,0.9019,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),"F3 recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927) 90d",0.9864
90,"recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476)",y_corr,405,119,13,-0.1854,0.0755,0.0144,0.0923,0.0467,0.1552,0.2346,-0.4928,0.1219,0.4385,0.1045,0.3052,0.1249,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),"F3 recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476) 90d",0.9864
180,year FE (reported year),exec_departure_180_rd,405,119,13,0.0557,0.0648,0.3906,0.0706,0.4319,0.0861,0.5187,-0.1147,0.2262,0.2432,0.3028,0.2466,0.4605,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 year FE (reported year) 180d,0.9864
180,two-digit SIC FE,exec_departure_180_rd,405,119,13,0.1109,inf,1.0,0.117,0.3453,0.1389,0.4263,-0.1642,0.3859,0.3923,0.3028,0.2466,0.3952,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 two-digit SIC FE 180d,0.9864
180,breach_date anchor,exec_departure_180_bd,405,119,13,-0.0506,0.0583,0.3857,0.083,0.5432,0.1058,0.6333,-0.2602,0.1589,0.299,0.2294,0.2399,0.5924,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 breach_date anchor 180d,0.9864
180,excluding pre-announced departures,exec_departure_nopre_180_rd,405,119,13,0.0564,0.058,0.3318,0.0802,0.4837,0.1004,0.5757,-0.1425,0.2553,0.2838,0.2752,0.2162,0.5446,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 excluding pre-announced departures 180d,0.9864
180,excluding the F2 baseline control,exec_departure_180_rd,405,119,13,0.0226,0.0608,0.7104,0.0785,0.7742,0.0975,0.8173,-0.1705,0.2156,0.2754,0.3028,0.2466,0.8015,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 excluding the F2 baseline control 180d,0.9864
180,restatement-dated outcome (rs),rs_exec_departure_180_rd,405,119,13,0.003,0.0622,0.9618,0.1005,0.9764,0.148,0.984,-0.2901,0.296,0.418,0.3394,0.2669,0.9837,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 restatement-dated outcome (rs) 180d,0.9864
180,"recall-corrected, audit point estimates (r_T=0.842, r_C=0.750)",y_corr,405,119,13,-0.0103,0.0768,0.8938,0.0983,0.917,0.1249,0.9347,-0.2576,0.2371,0.3529,0.3595,0.3288,0.9267,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),"F3 recall-corrected, audit point estimates (r_T=0.842, r_C=0.750) 180d",0.9864
180,"recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927)",y_corr,405,119,13,0.1883,0.0863,0.0297,0.1108,0.0917,0.1423,0.1883,-0.0935,0.4701,0.402,0.5012,0.266,0.1676,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),"F3 recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927) 180d",0.9864
180,"recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476)",y_corr,405,119,13,-0.2527,0.0994,0.0114,0.1249,0.0454,0.1584,0.1132,-0.5663,0.0609,0.4473,0.3134,0.5181,0.0706,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),"F3 recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476) 180d",0.9864
