cik,ticker,company_name,company_name_normalized
1895249,CNTM,"ConnectM Technology Solutions, Inc.",connectm technology solutions
1895251,SGTM,"Sustainable Green Team, Ltd.",sustainable green team
1895262,NE-WT,Noble Corp plc,noble corp plc
1895262,NE,Noble Corp plc,noble corp plc
1895262,NE-WTA,Noble Corp plc,noble corp plc
1895597,ICG,Intchains Group Ltd,intchains group
1895618,GXAI,GAXOS.AI INC.,gaxos.ai
1896036,EIIA,Eagle Point Institutional Income Fund,eagle point institutional income fund
1896084,IONR,ioneer Ltd,ioneer
1896084,GSCCF,ioneer Ltd,ioneer
1896212,CDTTW,CDT Equity Inc.,cdt equity
1896212,CDT,CDT Equity Inc.,cdt equity
1896425,LBGJ,Li Bang International Corp Inc.,li bang international
1896511,DAZSF,ZKGC New Energy Ltd,zkgc new energy
1896677,GSOL,Grayscale Solana Staking ETF,grayscale solana staking etf
1896752,SABOF,Sabio Holdings Inc.,sabio holdings
1897087,SUPX,SuperX AI Technology Ltd,superx ai technology
1897245,HWH,HWH International Inc.,hwh international
1897463,GRAF,Graf Global Corp.,graf global
1897463,GRAF-UN,Graf Global Corp.,graf global
1897463,GRAF-WT,Graf Global Corp.,graf global
1897532,PASW,"Ping An Biomedical Co., Ltd.",ping an biomedical co
1897762,INGM,Ingram Micro Holding Corp,ingram micro holding
1898416,ALVO,Alvotech,alvotech
1898416,ALVOW,Alvotech,alvotech
1898496,GETY,"Getty Images Holdings, Inc.",getty images holdings
1898601,IPX,IPERIONX Ltd,iperionx
1898604,VSTD,Vestand Inc.,vestand
1898643,MOB,Mobilicom Ltd,mobilicom
1898643,MOBBW,Mobilicom Ltd,mobilicom
1898718,GMRS,GMR Solutions Inc.,gmr solutions
1898766,TPET,Trio Petroleum Corp,trio petroleum
1898795,LVWR-WT,"LiveWire Group, Inc.",livewire group
1898795,LVWR,"LiveWire Group, Inc.",livewire group
1899005,BMR,Beamr Imaging Ltd.,beamr imaging
1899123,BTDR,Bitdeer Technologies Group,bitdeer technologies group
1899287,AMPX-WT,"Amprius Technologies, Inc.",amprius technologies
1899287,AMPX,"Amprius Technologies, Inc.",amprius technologies
1899658,WLGSF,"WANG & LEE GROUP, Inc.",wang & lee group
1899830,PERFF,Perfect Corp.,perfect
1899830,PERF,Perfect Corp.,perfect
1899883,FIP,FTAI Infrastructure Inc.,ftai infrastructure
1900304,HLN,Haleon plc,haleon plc
1900304,HLNCF,Haleon plc,haleon plc
1900679,TETEF,Technology & Telecommunication Acquisition Corp,technology & telecommunication acquisition
1900679,TETUF,Technology & Telecommunication Acquisition Corp,technology & telecommunication acquisition
1900679,TETWF,Technology & Telecommunication Acquisition Corp,technology & telecommunication acquisition
1900720,EPWKF,EPWK Holdings Ltd.,epwk holdings
1901203,UCFI,CN Healthy Food Tech Group Corp.,cn healthy food tech group
1901203,UCFIW,CN Healthy Food Tech Group Corp.,cn healthy food tech group
1901215,BNRG,Brenmiller Energy Ltd.,brenmiller energy
1901279,NYAX,Nayax Ltd.,nayax
1901336,ALCWF,Alchemy Investments Acquisition Corp 1,alchemy investments acquisition corp 1
1901336,ALCUF,Alchemy Investments Acquisition Corp 1,alchemy investments acquisition corp 1
1901336,ALCYF,Alchemy Investments Acquisition Corp 1,alchemy investments acquisition corp 1
1901440,ULS,UL Solutions Inc.,ul solutions
1901637,USCB,"USCB FINANCIAL HOLDINGS, INC.",uscb financial holdings
1901799,BTMCQ,Bitcoin Depot Inc.,bitcoin depot
1901799,BTMWQ,Bitcoin Depot Inc.,bitcoin depot
1901931,KLGDF,Kalo Gold Corp.,kalo gold
1902276,WCUFF,World Copper Ltd.,world copper
1902276,WCUFD,World Copper Ltd.,world copper
1902314,MPTI,"M-tron Industries, Inc.",m-tron industries
1902733,NCNO,"nCino, Inc.",ncino
1903145,GRRR,Gorilla Technology Group Inc.,gorilla technology group
1903145,GRRRW,Gorilla Technology Group Inc.,gorilla technology group
1903382,BHM,"Bluerock Homes Trust, Inc.",bluerock homes trust
1903392,CLRRF,ClimateRock,climaterock
1903392,CLRCF,ClimateRock,climaterock
1903508,PPHC,"Public Policy Holding Company, Inc.",public policy holding company
1903595,HODO,House of Doge Inc.,house of doge
1903784,VOGX,"Vogenx, Inc.",vogenx
1903870,AFRIW,Forafric Global PLC,forafric global plc
1903870,AFRI,Forafric Global PLC,forafric global plc
1903995,MGIH,Millennium Group International Holdings Ltd,millennium group international holdings
1904286,MIRA,"MIRA PHARMACEUTICALS, INC.",mira pharmaceuticals
1904501,ZTEK,Zentek Ltd.,zentek
1904616,BAKR,Baker Global Asset Management Inc.,baker global asset management
1904856,EFXT,Enerflex Ltd.,enerflex
1905511,JCSE,JE Cleantech Holdings Ltd,je cleantech holdings
1905660,HUBC,Hub Cyber Security Ltd.,hub cyber security
1905660,HUBCZ,Hub Cyber Security Ltd.,hub cyber security
1905660,HUBCW,Hub Cyber Security Ltd.,hub cyber security
1905688,MAUUF,AERO ENERGY Ltd,aero energy
