suspect_cik,org_name,n_records,resolved_cik,grade,still_maps_to_suspect,evidence
1324404,NSi Industries LLC,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,Polaris Industries Inc.,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Rochester Industries Placement, Inc.",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,Sierra Pacific Industries,2,90143.0,VERIFIED,False,EDGAR name: SIERRA PACIFIC INDUSTRIES
1324404,"SP Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"T.R.A. Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Tedder Industries, LLC",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,Vulcan Industries,1,1260451.0,VERIFIED,False,EDGAR name: VULCAN INDUSTRIES INC
1324404,"Warn Industries, Inc.",1,1984463.0,VERIFIED,False,"EDGAR name: WARN INDUSTRIES, INC."
1324404,"Worthen Industries, Inc.",3,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
19617,Evening Telegram Company d/b/a Morgan Murphy Media,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
19617,"Harrison, Mauro & Morgan, P.A.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
19617,"Morgan Brown & Joy, LLP",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
19617,"Morgan Industrial, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
19617,"Morgan Industrial, Inc. dba Omega Morgan",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
