org_name,breach_date,cik,resolved_cik,resolution_source,resolution_category
"Caesars Entertainment, Inc.",2023-08-23,1590895,,,LOST_RESOLUTION
"Capital Asset Management Group, Inc.",2024-01-19,927628,,,LOST_RESOLUTION
"Capital Brands Distribution, LLC",2020-02-19,927628,,,LOST_RESOLUTION
Capital Integration Systems LLC,2018-02-01,927628,1497060.0,SEC name: CAPITAL INTEGRATION SYSTEMS LLC,CIK_CORRECTED
Capital Lumber Company,2020-07-27,927628,,,LOST_RESOLUTION
Capital Lumber Company,2020-07-01,927628,,,LOST_RESOLUTION
Carnival Corporation,2020-12-25,815097,1584022.0,"SEC name: CARNIVAL, INC.",CIK_CORRECTED
Carnival Corporation,2021-03-19,815097,1584022.0,"SEC name: CARNIVAL, INC.",CIK_CORRECTED
Carnival Corporation & plc,2020-08-15,815097,1125259.0,SEC name: CARNIVAL PLC,CIK_CORRECTED
Carnival Corporation & PLC,2019-04-11,815097,1125259.0,SEC name: CARNIVAL PLC,CIK_CORRECTED
Carnival Corporation & PLC,2019-04-01,815097,1125259.0,SEC name: CARNIVAL PLC,CIK_CORRECTED
"CBD Industries, LLC",2020-03-30,1324404,,,LOST_RESOLUTION
"Cencora, Inc.",2024-02-21,1140859,1140859.0,SEC name: AMERISOURCE BERGEN CORP,CIK_UNCHANGED
"Cencora, Inc.",2024-04-10,1140859,1140859.0,SEC name: AMERISOURCE BERGEN CORP,CIK_UNCHANGED
"Cencora, Inc.",2024-05-08,1140859,1140859.0,SEC name: AMERISOURCE BERGEN CORP,CIK_UNCHANGED
Centene Management Corporation,2015-10-08,1071739,,,LOST_RESOLUTION
"Centerline Communications, LLC",2022-02-10,1034054,,,LOST_RESOLUTION
Centerstone Insurance and Financial Services,2018-10-11,713676,,,LOST_RESOLUTION
CenturyLink,2017-01-30,18926,18926.0,SEC name: CENTURY TELEPHONE ENTERPRISES INC,CIK_UNCHANGED
CenturyLink,2017-02-28,18926,18926.0,SEC name: CENTURY TELEPHONE ENTERPRISES INC,CIK_UNCHANGED
CenturyLink,2013-12-27,18926,18926.0,SEC name: CENTURY TELEPHONE ENTERPRISES INC,CIK_UNCHANGED
CenturyLink Communications,2020-08-20,18926,,,LOST_RESOLUTION
Centurylink Communications,2022-03-15,18926,,,LOST_RESOLUTION
Change Healthcare Inc.,2024-02-12,1932393,1756497.0,SEC name: CHANGE HEALTHCARE INC.,CIK_CORRECTED
"Chart Industries, Inc.",2009-07-23,1324404,892553.0,SEC name: CHART INDUSTRIES INC,CIK_CORRECTED
Charter Communication,2014-09-30,1091667,,,LOST_RESOLUTION
Charter Communications,2008-08-11,1091667,,,LOST_RESOLUTION
Charter Communications,2022-12-21,1091667,,,LOST_RESOLUTION
"Charter Communications, Inc.",2023-09-01,1091667,,,LOST_RESOLUTION
"Charter Communications, Inc.",2013-04-26,1091667,,,LOST_RESOLUTION
"Charter Communications, Inc.",2008-07-14,1091667,,,LOST_RESOLUTION
"Charter Communications, Inc.",2014-01-21,1091667,,,LOST_RESOLUTION
"Charter Communications, Inc.",2023-01-01,1091667,,,LOST_RESOLUTION
"Charter Next Generation, Inc.",2021-05-01,1091667,,,LOST_RESOLUTION
Christensen Oâ€™Connor Johnson Kindness PLLC,2020-12-24,200406,,,LOST_RESOLUTION
Cintas Corporation,2020-09-16,723254,,,LOST_RESOLUTION
"Cisco Systems, Inc.",2012-04-13,858877,858877.0,SEC name: CISCO SYSTEMS INC,CIK_UNCHANGED
"Cisco Systems, Inc.",2012-03-26,858877,858877.0,SEC name: CISCO SYSTEMS INC,CIK_UNCHANGED
Citrix,2019-04-30,877890,,,LOST_RESOLUTION
Citrix Systems,2016-11-15,877890,877890.0,SEC name: CITRIX SYSTEMS INC,CIK_UNCHANGED
Citrix Systems,2018-10-13,877890,877890.0,SEC name: CITRIX SYSTEMS INC,CIK_UNCHANGED
Citrix Systems Inc.,2013-04-26,877890,877890.0,SEC name: CITRIX SYSTEMS INC,CIK_UNCHANGED
Citrix Systems Inc.,2018-10-13,877890,877890.0,SEC name: CITRIX SYSTEMS INC,CIK_UNCHANGED
"Citrix Systems, Inc.",2018-10-13,877890,877890.0,SEC name: CITRIX SYSTEMS INC,CIK_UNCHANGED
CLAS Information Services,2024-10-18,1136893,,,LOST_RESOLUTION
"Cleo Communications US, LLC",2022-10-28,1034054,,,LOST_RESOLUTION
"CM Group Holdings, Inc. d/b/a Creative Memories",2019-01-31,1973266,,,LOST_RESOLUTION
Coca-Cola Bottling Company of Northern New England,2018-06-02,21344,,,LOST_RESOLUTION
Cognizant Technology Solutions Corporation,2020-04-09,1058290,,,LOST_RESOLUTION
Comcast,2014-09-29,1166691,,,LOST_RESOLUTION
Comcast,2008-01-29,1166691,,,LOST_RESOLUTION
Comcast,2024-02-14,1166691,,,LOST_RESOLUTION
Comcast,2023-10-16,1166691,,,LOST_RESOLUTION
Comcast Cable Communications LLC,2024-10-04,1166691,1040573.0,SEC name: COMCAST CABLE COMMUNICATIONS INC,CIK_CORRECTED
Comcast Cable Communications LLC,2024-02-14,1166691,1040573.0,SEC name: COMCAST CABLE COMMUNICATIONS INC,CIK_CORRECTED
Comcast Cable Communications LLC,2023-10-16,1166691,1040573.0,SEC name: COMCAST CABLE COMMUNICATIONS INC,CIK_CORRECTED
Comcast Cable Communications LLC,2024-01-26,1166691,1040573.0,SEC name: COMCAST CABLE COMMUNICATIONS INC,CIK_CORRECTED
"Comcast Cable Communications, Inc.",2009-06-22,1166691,1040573.0,SEC name: COMCAST CABLE COMMUNICATIONS INC,CIK_CORRECTED
"Comcast Cable Communications, Inc.",2009-05-11,1166691,1040573.0,SEC name: COMCAST CABLE COMMUNICATIONS INC,CIK_CORRECTED
Communications & Power Industries LLC,2020-01-18,1034054,1000564.0,SEC name: COMMUNICATIONS & POWER INDUSTRIES INC,CIK_CORRECTED
Consolidated Edison Company of New York LLC,2023-05-29,1390777,23632.0,SEC name: CONSOLIDATED EDISON CO OF NEW YORK INC,CIK_CORRECTED
"Corebridge Financial, Inc.",2023-05-29,713676,1889539.0,"SEC name: COREBRIDGE FINANCIAL, INC.",CIK_CORRECTED
Cornerstone Healthcare Group Management Services LLC,2023-12-19,1932393,,,LOST_RESOLUTION
Corteva Agriscience,2023-03-01,1755672,,,LOST_RESOLUTION
Costco Photo Center,2014-06-19,909832,,,LOST_RESOLUTION
Cricket Wireless LLC,2018-08-21,732717,,,LOST_RESOLUTION
Cricket Wireless LLC,2018-08-17,732717,,,LOST_RESOLUTION
CrowdStrike Holdings Inc.,2024-07-19,1535527,1535527.0,"SEC name: CROWDSTRIKE HOLDINGS, INC.",CIK_UNCHANGED
"CrowdStrike Holdings, Inc.",2022-04-01,1713683,1535527.0,"SEC name: CROWDSTRIKE HOLDINGS, INC.",CIK_CORRECTED
Crown Castle,2013-10-31,1051470,1051470.0,SEC name: CROWN CASTLE INC.,CIK_UNCHANGED
Crown Castle,2013-11-19,1051470,1051470.0,SEC name: CROWN CASTLE INC.,CIK_UNCHANGED
"CSI Financial Services, LLC",2021-03-08,713676,,,LOST_RESOLUTION
CSX Transportation,2013-09-06,277948,88128.0,SEC name: CSX TRANSPORTATION INC,CIK_CORRECTED
CSX Transportation,2013-10-07,277948,88128.0,SEC name: CSX TRANSPORTATION INC,CIK_CORRECTED
"CSX Transportation, Inc.",2020-12-25,277948,88128.0,SEC name: CSX TRANSPORTATION INC,CIK_CORRECTED
CWGS Group,2022-01-14,831001,,,LOST_RESOLUTION
"CyrusOne, Inc.",2017-10-18,1553023,,,LOST_RESOLUTION
DC Group,2021-04-11,831001,,,LOST_RESOLUTION
"Defender Industries, Inc.",2020-11-22,1324404,,,LOST_RESOLUTION
Dell Inc.,2013-02-26,1571996,826083.0,SEC name: DELL COMPUTER CORP,CIK_CORRECTED
"Delta Air Lines, Inc.",2017-09-01,27904,27904.0,SEC name: DELTA AIR LINES INC /DE/,CIK_UNCHANGED
"Delta Air Lines, Inc.",2017-09-26,27904,27904.0,SEC name: DELTA AIR LINES INC /DE/,CIK_UNCHANGED
Delta Global Services,2018-06-18,27904,,,LOST_RESOLUTION
Deluxe Corporation,2019-08-13,832101,,,LOST_RESOLUTION
"Derby Industries, LLC",2021-08-26,1324404,,,LOST_RESOLUTION
"DiGiovine, Hnilo, Jordan + Johnson Ltd",2018-04-23,200406,,,LOST_RESOLUTION
DISH Network Corporation,2023-02-23,1001082,920436.0,SEC name: DISH NETWORK LLC,CIK_CORRECTED
DISH Network L.L.C.,2023-02-22,1001082,,,LOST_RESOLUTION
"DISH Network, LLC",2023-05-17,1001082,920436.0,SEC name: DISH NETWORK LLC,CIK_CORRECTED
"DISH Network, LLC",2023-02-23,1001082,920436.0,SEC name: DISH NETWORK LLC,CIK_CORRECTED
"DISH Network, LLC",2023-02-22,1001082,920436.0,SEC name: DISH NETWORK LLC,CIK_CORRECTED
Disney Consumer Products and Interactive Media,2016-07-09,1744489,,,LOST_RESOLUTION
DoorDash Inc.,2019-05-04,1792789,1792789.0,SEC name: DOORDASH INC,CIK_UNCHANGED
Doubletree Suites by Hilton Walt Disney World,2015-02-25,1744489,,,LOST_RESOLUTION
Duke Energy,2017-11-10,1326160,,,LOST_RESOLUTION
Duke Energy Corporation,2021-05-28,1326160,,,LOST_RESOLUTION
Duke Energy Corporation,2014-03-24,1326160,,,LOST_RESOLUTION
"Dulany Industries, Inc.",2025-05-27,1324404,,,LOST_RESOLUTION
Dynapar Corporation,2023-01-25,1841666,,,LOST_RESOLUTION
E.W. Wylie Corporation,2020-09-25,1004980,,,LOST_RESOLUTION
"Eagle Capital Management, LLC",2021-04-13,927628,,,LOST_RESOLUTION
EatStreet,2019-05-03,93751,1560142.0,"SEC name: EATSTREET, INC.",CIK_CORRECTED
"EBSCO Industries, Inc.",2016-07-16,1324404,,,LOST_RESOLUTION
"EBSCO Industries, Inc.",2016-07-01,1324404,,,LOST_RESOLUTION
EMC Corporation,2014-01-07,874761,,,LOST_RESOLUTION
EMJ Corporation,2021-09-05,874761,,,LOST_RESOLUTION
Ensinger Industries Inc.,2021-06-13,1324404,,,LOST_RESOLUTION
"Ensinger Industries, Inc.",2021-02-08,1324404,,,LOST_RESOLUTION
"Ensinger Industries, Inc.",2021-06-01,1324404,,,LOST_RESOLUTION
Entercom Communications Corp.,2019-09-18,1034054,1067837.0,"SEC name: AUDACY, INC.",CIK_CORRECTED
"Equifax, Inc.",2014-01-31,33185,33185.0,SEC name: EQUIFAX INC,CIK_UNCHANGED
"Essex Property Trust, Inc.",2013-08-13,920522,920522.0,SEC name: ESSEX PORTFOLIO LP,CIK_UNCHANGED
Evening Post Industries,2016-02-26,1324404,,,LOST_RESOLUTION
Evening Telegram Company d/b/a Morgan Murphy Media,2020-12-29,19617,,,LOST_RESOLUTION
Facebook,2013-11-24,1326801,1326801.0,SEC name: FACEBOOK INC,CIK_UNCHANGED
