cik,org_name,breach_date,actual_car,synthetic_car,treatment_effect,n_donors,max_weight,hhi_weights
20520,"Frontier Communications Parent, Inc.",2024-04-13,3.5229,-0.11374046426514717,3.636640464265147,523,0.009486060309991618,0.0024708354456855117
20520,"Frontier Communications Parent, Inc.",2024-04-14,3.9861,-0.11374046426514717,4.099840464265148,523,0.009486060309991618,0.0024708354456855117
20520,"Frontier Communications Parent, Inc.",2024-06-10,3.3666,-0.11374046426514717,3.480340464265147,523,0.009486060309991618,0.0024708354456855117
20520,"Frontier Communications Parent, Inc.",2024-06-12,8.1199,-0.11374046426514717,8.233640464265147,523,0.009486060309991618,0.0024708354456855117
1166691,NBC Sports Group,2012-08-24,2.96,-0.24612056592340487,3.206120565923405,523,0.012131499441307985,0.0025124172050606597
1166691,NBC Sports Group,2013-08-24,5.5701,-0.45590416175200643,6.026004161752007,523,0.0110143670690782,0.002870201468199583
1166691,NBC Sports Group,2013-10-15,2.58,-0.3856339744729582,2.9656339744729583,523,0.01397359404245687,0.002920149569247479
1166691,NBCUniversal,2022-01-04,1.9512,-0.050663088861764294,2.0018630888617643,523,0.012926888710739175,0.002793465076665526
1283699,Sprint,2019-06-02,-0.7493,0.17235233706435538,-0.9216523370643553,523,0.03114938927976486,0.003980419791131838
1283699,Sprint,2019-06-08,-2.2977,0.17235233706435538,-2.470052337064355,523,0.03114938927976486,0.003980419791131838
1283699,Sprint,2017-05-07,-5.1309,-0.5371999570217065,-4.593700042978293,523,0.9999999469688735,0.9999998939377498
1283699,Sprint,2019-06-22,1.8773,0.17235233706435538,1.7049476629356446,523,0.03114938927976486,0.003980419791131838
1283699,Sprint,2020-04-02,-1.4651,-0.2140193169021905,-1.2510806830978096,523,0.016758660000647005,0.0030601685123004593
1283699,Sprint,2020-04-15,3.3105,-0.2140193169021905,3.524519316902191,523,0.016758660000647005,0.0030601685123004593
1283699,Sprint Business,2019-06-08,-2.2977,0.17235233706435538,-2.470052337064355,523,0.03114938927976486,0.003980419791131838
1283699,Sprint Corporation,2019-03-14,-3.086,0.24111677185962305,-3.327116771859623,523,0.019572863061583425,0.003264455865612658
