org_name,cik,match_type,source
MGM Resorts International,789570.0,EXACT_UNAMBIGUOUS,SEC name: MGM GRAND INC
MSX International Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [1059274, 1264091]"
"Marriott International, Inc.",905036.0,EXACT_UNAMBIGUOUS,SEC name: MARRIOTT INTERNATIONAL INC
"Marsh & McLennan Companies, Inc.",62709.0,EXACT_UNAMBIGUOUS,SEC name: MARSH & MCLENNAN COMPANIES INC
Mediant Communications Inc.,1567336.0,EXACT_UNAMBIGUOUS,SEC name: MEDIANT COMMUNICATIONS INC.
"Motorola, Inc.",68505.0,EXACT_UNAMBIGUOUS,SEC name: MOTOROLA INC
NBCUniversal,1512267.0,EXACT_UNAMBIGUOUS,"SEC name: NBCUNIVERSAL, LLC"
"NCO Financial Systems, Inc.",1396897.0,EXACT_UNAMBIGUOUS,"SEC name: NCO FINANCIAL SYSTEMS, INC."
"National Presto Industries, Inc.",80172.0,EXACT_UNAMBIGUOUS,SEC name: NATIONAL PRESTO INDUSTRIES INC
"NextGen Healthcare, Inc.",708818.0,EXACT_UNAMBIGUOUS,"SEC name: NEXTGEN HEALTHCARE, INC."
Nuance Communications Inc,,EXACT_AMBIGUOUS,"Multiple CIKs: [1002517, 1102556]"
"Nuance Communications, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [1002517, 1102556]"
"Oceaneering International, Inc.",73756.0,EXACT_UNAMBIGUOUS,SEC name: OCEANEERING INTERNATIONAL INC
Okta Inc,1660134.0,EXACT_UNAMBIGUOUS,"SEC name: OKTA, INC."
"Okta, Inc",1660134.0,EXACT_UNAMBIGUOUS,"SEC name: OKTA, INC."
"Okta, Inc.",1660134.0,EXACT_UNAMBIGUOUS,"SEC name: OKTA, INC."
PACCAR,75362.0,EXACT_UNAMBIGUOUS,SEC name: PACCAR INC
Paramount Global,813828.0,EXACT_UNAMBIGUOUS,SEC name: CBS CORP
PayPal Inc.,1103415.0,EXACT_UNAMBIGUOUS,SEC name: PAYPAL INC
"PayPal, Inc.",1103415.0,EXACT_UNAMBIGUOUS,SEC name: PAYPAL INC
"PepsiCo, Inc.",77476.0,EXACT_UNAMBIGUOUS,SEC name: PEPSICO INC
Pfizer Inc,78003.0,EXACT_UNAMBIGUOUS,SEC name: PFIZER INC
Prime Communications,1570434.0,EXACT_UNAMBIGUOUS,SEC name: PRIME COMMUNICATIONS INC
"Professional Compounding Centers of America, Inc.",1558044.0,EXACT_UNAMBIGUOUS,"SEC name: PROFESSIONAL COMPOUNDING CENTERS OF AMERICA, INC."
"Regeneron Pharmaceuticals, Inc.",872589.0,EXACT_UNAMBIGUOUS,SEC name: REGENERON PHARMACEUTICALS INC
Republic Services,1060391.0,EXACT_UNAMBIGUOUS,SEC name: REPUBLIC SERVICES INC
"Republic Services, Inc",1060391.0,EXACT_UNAMBIGUOUS,SEC name: REPUBLIC SERVICES INC
"Republic Services, Inc.",1060391.0,EXACT_UNAMBIGUOUS,SEC name: REPUBLIC SERVICES INC
Roku Inc,,EXACT_AMBIGUOUS,"Multiple CIKs: [1350999, 1428439]"
Roku Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [1350999, 1428439]"
"Roku, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [1350999, 1428439]"
Salesforce.com,1108524.0,EXACT_UNAMBIGUOUS,SEC name: SALESFORCE COM INC
Seagate Technology LLC,,EXACT_AMBIGUOUS,"Multiple CIKs: [354952, 1137781, 1137789, 1554935]"
Seagate US LLC,1137785.0,EXACT_UNAMBIGUOUS,SEC name: SEAGATE US LLC
ServiceNow Inc.,1373715.0,EXACT_UNAMBIGUOUS,SEC name: SERVICE-NOW.COM
Sierra Pacific Industries,90143.0,EXACT_UNAMBIGUOUS,SEC name: SIERRA PACIFIC INDUSTRIES
"Sinclair Broadcast Group, Inc",912752.0,EXACT_UNAMBIGUOUS,SEC name: SINCLAIR BROADCAST GROUP INC
"Sinclair Broadcast Group, Inc.",912752.0,EXACT_UNAMBIGUOUS,SEC name: SINCLAIR BROADCAST GROUP INC
Sirius XM Radio Inc,,EXACT_AMBIGUOUS,"Multiple CIKs: [908937, 1592709]"
Sirius XM Radio Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [908937, 1592709]"
"Sirius XM Radio, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [908937, 1592709]"
Snap Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [1282388, 1564408, 1652940]"
"Snap-on, Inc.",91440.0,EXACT_UNAMBIGUOUS,SEC name: SNAP ON INC
Snowflake Inc.,1640147.0,EXACT_UNAMBIGUOUS,"SEC name: SNOWFLAKE COMPUTING, INC."
Southwest Airlines Co.,92380.0,EXACT_UNAMBIGUOUS,SEC name: SOUTHWEST AIRLINES CO
Sprint,101830.0,EXACT_UNAMBIGUOUS,SEC name: SPRINT CORP
Sprint Corporation,101830.0,EXACT_UNAMBIGUOUS,SEC name: SPRINT CORP
"T-Mobile US, Inc.",1283699.0,EXACT_UNAMBIGUOUS,SEC name: METROPCS COMMUNICATIONS INC
