org_name,breach_date,reported_date,prc_status,survives_to_333,treated,event_breach_date,event_composition,primary_source,source_url,verification_date
E.W. Wylie Corporation,2020-09-25 00:00:00,2020-11-16 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"STG International, Inc.",2020-10-22 00:00:00,2021-06-21 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Aero Charter, Inc.",2020-12-06 00:00:00,2021-03-01 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Christensen Oâ€™Connor Johnson Kindness PLLC,2020-12-24 00:00:00,2021-11-10 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"CSX Transportation, Inc.",2020-12-25 00:00:00,2021-03-17 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
ASAP Semiconductor LLC,2021-03-20 00:00:00,2021-07-06 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
DC Group,2021-04-11 00:00:00,2021-09-13 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Morgan Brown & Joy, LLP",2021-04-12 00:00:00,2024-11-08 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Pendrick Capital Partner Holdings, LLC",2021-04-12 00:00:00,2021-08-30 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
ASIS International,2021-04-28 00:00:00,2021-07-22 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
J&M Brown Company Inc.,2021-05-27 00:00:00,2021-07-09 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"Sinclair Broadcast Group, Inc.",2021-06-23 00:00:00,2022-03-31 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Morgan Truck Body, LLC",2021-07-16 00:00:00,2021-08-03 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Amphenol Canada Corporation,2021-08-16 00:00:00,2021-10-13 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"Medical Healthcare Solutions, Inc.",2021-10-01 00:00:00,2022-01-25 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Franklin International,2021-10-18 00:00:00,2022-05-31 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Shawmut Communications Group,2021-10-26 00:00:00,2022-02-14 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Allied-Locke Industries, Inc.",2021-11-08 00:00:00,2022-09-06 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Alpha & Omega Semiconductor,2022-02-22 00:00:00,2022-07-21 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"Burrelles Information Services, LLC",2022-03-06 00:00:00,2022-05-18 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
