round,source_file,variant,sample,field,n,agreement,kappa,ref_Y,clf_Y,both_Y,clf_only_Y,ref_only_Y,precision,recall,ref_positives,clf_positives,tp,fp,fn,precision_ci95,recall_ci95,scoring,excluded_unclear,panel,stratum
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,pre-announced,80,0.825,0.6673,39.0,29.0,,,,0.9655,0.7179,,,28.0,1.0,11.0,"[0.822, 0.999]","[0.551, 0.850]",SECONDARY (blind),0.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,pre-announced,80,0.8125,0.632,41.0,29.0,,,,0.9655,0.6829,,,28.0,1.0,13.0,"[0.822, 0.999]","[0.519, 0.819]",SENSITIVITY unclear->Y,0.0,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,PRIMARY (verified) | exec departure (A: any),30,0.9667,0.8696,,,,,,1.0,0.8,5.0,4.0,4.0,0.0,1.0,"[0.3976, 1.0]","[0.2836, 0.9949]",,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,PRIMARY (verified) | exec departure (B: new only),30,0.9667,0.8696,,,,,,1.0,0.8,5.0,4.0,4.0,0.0,1.0,"[0.3976, 1.0]","[0.2836, 0.9949]",,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,PRIMARY (verified) | CEO departure (A: any),30,0.9667,0.0,,,,,,0.0,,0.0,1.0,0.0,1.0,0.0,"[0.0, 0.975]",n/a (no ref positives),,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,PRIMARY (verified) | CEO departure (B: new only),30,0.9667,0.0,,,,,,0.0,,0.0,1.0,0.0,1.0,0.0,"[0.0, 0.975]",n/a (no ref positives),,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,PRIMARY (verified) | director-only departure,30,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,2.0,0.0,0.0,"[0.1581, 1.0]","[0.1581, 1.0]",,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,PRIMARY (verified) | pre-announced (FULL POOL - MECHANICAL),30,0.9667,0.8889,,,,,,1.0,0.8333,6.0,5.0,5.0,0.0,1.0,"[0.4782, 1.0]","[0.3588, 0.9958]",,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,PRIMARY (verified) | pre-announced (OUTCOME WINDOW ONLY),3,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,n/a (no clf positives),n/a (no ref positives),,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,SECONDARY (blind) | exec departure (A: any),30,0.9667,0.8696,,,,,,1.0,0.8,5.0,4.0,4.0,0.0,1.0,"[0.3976, 1.0]","[0.2836, 0.9949]",,,agreement,
