final_cik,breach_date,org_name,treated,gvkey,matched_ticker,firm_size_log,firm_size_log_tic,firm_size_log_v3,leverage,leverage_tic,leverage_v3,roa,roa_tic,roa_v3,op_margin,op_margin_tic,op_margin_v3
101830,2019-03-14,Sprint Corporation,1,010984,S,11.3558,,11.3558,0.6909,,0.6909,0.0865,,0.0865,0.3397,,0.3397
101830,2019-05-09,Sprint Corporation,1,010984,S,11.3457,,11.3457,0.6912,,0.6912,-0.023,,-0.023,0.3802,,0.3802
101830,2019-06-02,Sprint,1,010984,S,11.3457,,11.3457,0.6912,,0.6912,-0.023,,-0.023,0.3802,,0.3802
101830,2019-06-08,Sprint,1,010984,S,11.3457,,11.3457,0.6912,,0.6912,-0.023,,-0.023,0.3802,,0.3802
101830,2019-06-22,Sprint,1,010984,S,11.3457,,11.3457,0.6912,,0.6912,-0.023,,-0.023,0.3802,,0.3802
101830,2019-08-13,Sprint Corporation,1,010984,S,11.3457,,11.3457,0.6912,,0.6912,-0.023,,-0.023,0.3802,,0.3802
1770450,2023-12-10,Xerox Corporation,0,011636,,9.3538,,,0.6901,,,-0.0279,,,0.086,,
277135,2017-08-23,"W.W. Grainger, Inc.",0,005256,GWW,8.6472,8.6472,8.6472,0.6653,0.6653,0.6653,0.1064,0.1064,0.1064,0.1443,0.1443,0.1443
277135,2017-09-26,W.W. Grainger Inc.,0,005256,GWW,8.6472,8.6472,8.6472,0.6653,0.6653,0.6653,0.1064,0.1064,0.1064,0.1443,0.1443,0.1443
315293,2020-12-17,Aon Corporation,0,003221,AON,10.2889,10.2889,10.2889,0.8827,0.8827,0.8827,0.0521,0.0521,0.0521,0.2891,0.2891,0.2891
318154,2021-04-21,Amgen Inc.,0,001602,AMGN,11.0501,11.0501,11.0501,0.8505,0.8505,0.8505,0.1154,0.1154,0.1154,0.4947,0.4947,0.4947
318154,2023-08-16,Amgen Inc.,0,001602,AMGN,11.084,11.084,11.084,0.9438,0.9438,0.9438,0.1006,0.1006,0.1006,0.5072,0.5072,0.5072
319687,2013-01-01,United Airlines,0,010484,,9.9428,,,1.1531,,,-0.0571,,,0.0577,,
320193,2010-06-01,Apple Inc.,0,001690,AAPL,10.7685,10.7685,10.7685,0.3339,0.3339,0.3339,0.1734,0.1734,0.1734,0.2896,0.2896,0.2896
320193,2013-07-18,Apple Inc.,0,001690,AAPL,12.0786,12.0786,12.0786,0.3286,0.3286,0.3286,0.237,0.237,0.237,0.3734,0.3734,0.3734
320193,2014-08-31,Apple Inc.,0,001690,AAPL,12.2405,12.2405,12.2405,0.4031,0.4031,0.4031,0.1789,0.1789,0.1789,0.3262,0.3262,0.3262
320193,2015-07-01,Apple Inc.,0,001690,AAPL,12.3538,12.3538,12.3538,0.5189,0.5189,0.5189,0.1704,0.1704,0.1704,0.3307,0.3307,0.3307
320193,2015-09-18,Apple Inc.,0,001690,AAPL,12.3538,12.3538,12.3538,0.5189,0.5189,0.5189,0.1704,0.1704,0.1704,0.3307,0.3307,0.3307
320193,2019-02-02,Apple Inc.,0,001690,AAPL,12.8096,12.8096,12.8096,0.707,0.707,0.707,0.1628,0.1628,0.1628,0.3013,0.3013,0.3013
320193,2020-11-01,Apple Inc.,0,001690,AAPL,12.6882,12.6882,12.6882,0.7983,0.7983,0.7983,0.1773,0.1773,0.1773,0.2768,0.2768,0.2768
1336920,2022-09-30,"Leidos, Inc.",0,165123,,9.4926,,,0.6724,,,0.0568,,,0.108,,
354190,2017-06-01,Gallagher NAC,0,004973,AJG,9.3492,9.3492,9.3492,0.6818,0.6818,0.6818,0.0361,0.0361,0.0361,0.1711,0.1711,0.1711
354190,2017-06-18,Gallagher NAC,0,004973,AJG,9.3492,9.3492,9.3492,0.6818,0.6818,0.6818,0.0361,0.0361,0.0361,0.1711,0.1711,0.1711
354950,2014-02-10,The Home Depot,0,005680,HD,10.6095,10.6095,10.6095,0.691,0.691,0.691,0.1329,0.1329,0.1329,0.1369,0.1369,0.1369
708818,2023-03-29,"NextGen Healthcare, Inc.",0,008858,,6.442,,,0.326,,,0.0026,,,0.1132,,
723254,2020-09-16,Cintas Corporation,0,003062,CTAS,8.9451,8.9451,8.9451,0.5782,0.5782,0.5782,0.1142,0.1142,0.1142,0.2022,0.2022,0.2022
731766,2024-02-12,Change Healthcare Inc.,0,010903,,12.5199,,,0.6386,,,0.0818,,,0.0978,,
732712,2008-06-27,Verizon,1,002136,VZ,12.1386,12.1386,12.1386,0.5568,0.5568,0.5568,0.0295,0.0295,0.0295,0.3326,0.3326,0.3326
732712,2014-01-20,Verizon Corporate Services Group Inc.,1,002136,VZ,12.5212,12.5212,12.5212,0.6519,0.6519,0.6519,0.0419,0.0419,0.0419,0.4029,0.4029,0.4029
732712,2014-02-26,Verizon,1,002136,VZ,12.5212,12.5212,12.5212,0.6519,0.6519,0.6519,0.0419,0.0419,0.0419,0.4029,0.4029,0.4029
732712,2016-08-10,Verizon,1,002136,VZ,12.4075,12.4075,12.4075,0.9271,0.9271,0.9271,0.0731,0.0731,0.0731,0.3729,0.3729,0.3729
732712,2017-07-20,Verizon,1,002136,VZ,12.4057,12.4057,12.4057,0.9016,0.9016,0.9016,0.0538,0.0538,0.0538,0.3332,0.3332,0.3332
732712,2019-03-12,Verizon Media,0,002136,VZ,12.4868,12.4868,12.4868,0.7934,0.7934,0.7934,0.0586,0.0586,0.0586,0.3605,0.3605,0.3605
732712,2019-04-24,Verizon,1,002136,VZ,12.4868,12.4868,12.4868,0.7934,0.7934,0.7934,0.0586,0.0586,0.0586,0.3605,0.3605,0.3605
732712,2019-06-03,Verizon,1,002136,VZ,12.4868,12.4868,12.4868,0.7934,0.7934,0.7934,0.0586,0.0586,0.0586,0.3605,0.3605,0.3605
732712,2023-05-11,Verizon,1,002136,VZ,12.8471,12.8471,12.8471,0.7565,0.7565,0.7565,0.056,0.056,0.056,0.3477,0.3477,0.3477
732712,2023-09-21,Verizon Communications Inc.,1,002136,VZ,12.8471,12.8471,12.8471,0.7565,0.7565,0.7565,0.056,0.056,0.056,0.3477,0.3477,0.3477
732712,2024-02-06,Verizon Communications Inc.,1,002136,VZ,12.8486,12.8486,12.8486,0.7533,0.7533,0.7533,0.0305,0.0305,0.0305,0.3527,0.3527,0.3527
732717,2008-05-23,AT&T,1,009899,T,12.5269,12.5269,12.5269,0.5815,0.5815,0.5815,0.0434,0.0434,0.0434,0.353,0.353,0.353
732717,2012-01-01,AT&T,1,009899,T,12.5075,12.5075,12.5075,0.6087,0.6087,0.6087,0.0146,0.0146,0.0146,0.2737,0.2737,0.2737
732717,2013-01-01,AT&T,1,009899,T,12.5147,12.5147,12.5147,0.6596,0.6596,0.6596,0.0267,0.0267,0.0267,0.2444,0.2444,0.2444
732717,2013-11-05,AT&T,1,009899,T,12.5147,12.5147,12.5147,0.6596,0.6596,0.6596,0.0267,0.0267,0.0267,0.2444,0.2444,0.2444
