final_cik,breach_date,org_name,treated,gvkey,variable,v3_value,v4_value,change,delta
73756,2024-01-01,"Oceaneering International, Inc.",0,008079,leverage,,0.7168,gained,
73756,2024-01-01,"Oceaneering International, Inc.",0,008079,roa,,0.0435,gained,
73756,2024-01-01,"Oceaneering International, Inc.",0,008079,op_margin,,0.1181,gained,
75362,2018-01-22,PACCAR,0,008253,firm_size_log,10.0622,10.0622,identical,0.0
75362,2018-01-22,PACCAR,0,008253,leverage,0.6566,0.6566,identical,0.0
75362,2018-01-22,PACCAR,0,008253,roa,0.0715,0.0715,identical,0.0
75362,2018-01-22,PACCAR,0,008253,op_margin,0.1748,0.1748,identical,0.0
76334,2022-03-11,Parker-Hannifin Corporation,0,008358,firm_size_log,9.9204,9.9204,identical,0.0
76334,2022-03-11,Parker-Hannifin Corporation,0,008358,leverage,0.5864,0.5864,identical,0.0
76334,2022-03-11,Parker-Hannifin Corporation,0,008358,roa,0.0858,0.0858,identical,0.0
76334,2022-03-11,Parker-Hannifin Corporation,0,008358,op_margin,0.2111,0.2111,identical,0.0
77476,2021-02-24,"PepsiCo, Inc.",0,008479,firm_size_log,11.4395,11.4395,identical,0.0
77476,2021-02-24,"PepsiCo, Inc.",0,008479,leverage,0.8542,0.8542,identical,0.0
77476,2021-02-24,"PepsiCo, Inc.",0,008479,roa,0.0766,0.0766,identical,0.0
77476,2021-02-24,"PepsiCo, Inc.",0,008479,op_margin,0.1859,0.1859,identical,0.0
78003,2006-12-01,Pfizer Inc,0,008530,firm_size_log,11.6747,11.6747,identical,0.0
78003,2006-12-01,Pfizer Inc,0,008530,leverage,0.4418,0.4418,identical,0.0
78003,2006-12-01,Pfizer Inc,0,008530,roa,0.0688,0.0688,identical,0.0
78003,2006-12-01,Pfizer Inc,0,008530,op_margin,0.4077,0.4077,identical,0.0
80172,2025-03-01,"National Presto Industries, Inc.",0,007762,firm_size_log,,6.1168,gained,
80172,2025-03-01,"National Presto Industries, Inc.",0,007762,leverage,,0.1892,gained,
80172,2025-03-01,"National Presto Industries, Inc.",0,007762,roa,,0.0914,gained,
80172,2025-03-01,"National Presto Industries, Inc.",0,007762,op_margin,,0.1295,gained,
91419,2010-04-05,The J.M. Smucker Company,0,009777,firm_size_log,9.0109,9.0109,identical,0.0
91419,2010-04-05,The J.M. Smucker Company,0,009777,leverage,0.397,0.397,identical,0.0
91419,2010-04-05,The J.M. Smucker Company,0,009777,roa,0.0325,0.0325,identical,0.0
91419,2010-04-05,The J.M. Smucker Company,0,009777,op_margin,0.1743,0.1743,identical,0.0
91440,2022-03-01,Snap-on Incorporated,0,009778,firm_size_log,8.8187,8.8187,identical,0.0
91440,2022-03-01,Snap-on Incorporated,0,009778,leverage,0.3781,0.3781,identical,0.0
91440,2022-03-01,Snap-on Incorporated,0,009778,roa,0.1214,0.1214,identical,0.0
