final_cik,breach_date,org_name,candidate_rank,candidate_cik,n_8k_in_window,status,win_lo,win_hi,predecessor_term,predecessor_name,resolution
354190,2017-06-01,Gallagher NAC,final_cik,354190.0,36.0,ok,2015-06-02,2018-05-12,,,
354190,2017-06-18,Gallagher NAC,final_cik,354190.0,36.0,ok,2015-06-19,2018-05-12,,,
354950,2014-02-10,The Home Depot,final_cik,354950.0,25.0,ok,2012-02-11,2014-09-10,,,
708818,2023-03-29,"NextGen Healthcare, Inc.",final_cik,708818.0,27.0,ok,2021-03-29,2023-10-25,,,
723254,2020-09-16,Cintas Corporation,final_cik,723254.0,19.0,ok,2018-09-17,2021-08-17,,,
731766,2024-02-12,Change Healthcare Inc.,final_cik,731766.0,52.0,ok,2022-02-12,2025-01-30,,,
732712,2008-06-27,Verizon,final_cik,732712.0,60.0,ok,2006-06-28,2008-12-24,,,
732712,2014-01-20,Verizon Corporate Services Group Inc.,final_cik,732712.0,58.0,ok,2012-01-21,2014-08-24,,,
732712,2014-02-26,Verizon,final_cik,732712.0,56.0,ok,2012-02-27,2014-08-25,,,
732712,2016-08-10,Verizon,final_cik,732712.0,77.0,ok,2014-08-11,2018-01-16,,,
732712,2017-07-20,Verizon,final_cik,732712.0,54.0,ok,2015-07-21,2018-01-16,,,
732712,2019-03-12,Verizon Media,final_cik,732712.0,64.0,ok,2017-03-12,2020-04-04,,,
732712,2019-04-24,Verizon,final_cik,732712.0,51.0,ok,2017-04-24,2019-11-27,,,
732712,2019-06-03,Verizon,final_cik,732712.0,47.0,ok,2017-06-03,2019-11-30,,,
732712,2023-05-11,Verizon,final_cik,732712.0,33.0,ok,2021-05-11,2023-11-07,,,
732712,2023-09-21,Verizon Communications Inc.,final_cik,732712.0,37.0,ok,2021-09-21,2024-08-03,,,
732712,2024-02-06,Verizon Communications Inc.,final_cik,732712.0,31.0,ok,2022-02-06,2024-08-04,,,
732717,2008-05-23,AT&T,final_cik,732717.0,54.0,ok,2006-05-24,2008-11-19,,,
732717,2012-01-01,AT&T,final_cik,732717.0,75.0,ok,2010-01-01,2012-08-11,,,
732717,2013-01-01,AT&T,final_cik,732717.0,149.0,ok,2011-01-02,2015-10-18,,,
732717,2013-11-05,AT&T,final_cik,732717.0,97.0,ok,2011-11-06,2014-12-08,,,
732717,2014-02-01,AT&T,final_cik,732717.0,115.0,ok,2012-02-02,2015-10-17,,,
