outcome_cik,final_cik,org_name,breach_date,treated,accession,filing_date,form,items,primary_doc,on_disk,win_lo,win_hi,submissions_cached
27904,27904,"Delta Air Lines, Inc.",2017-09-01,0,0001683168-18-001046,2018-04-20,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-02,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-01,0,0001683168-17-002723,2017-10-23,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-02,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-01,0,0001683168-17-000876,2017-04-11,8-K,5.02,delta_8k.htm,1,2015-09-02,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-01,0,0001683168-17-000167,2017-01-26,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-02,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-01,0,0001683168-16-000288,2016-10-11,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-02,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-01,0,0001019687-16-006642,2016-06-10,8-K,"5.02,5.07",delta_8k.htm,1,2015-09-02,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-01,0,0001019687-16-005064,2016-02-05,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-02,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-26,0,0001683168-18-001046,2018-04-20,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-27,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-26,0,0001683168-17-002723,2017-10-23,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-27,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-26,0,0001683168-17-000876,2017-04-11,8-K,5.02,delta_8k.htm,1,2015-09-27,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-26,0,0001683168-17-000167,2017-01-26,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-27,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-26,0,0001683168-16-000288,2016-10-11,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-27,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-26,0,0001019687-16-006642,2016-06-10,8-K,"5.02,5.07",delta_8k.htm,1,2015-09-27,2018-10-10,1
27904,27904,"Delta Air Lines, Inc.",2017-09-26,0,0001019687-16-005064,2016-02-05,8-K,"5.02,9.01",delta_8k.htm,1,2015-09-27,2018-10-10,1
27996,27996,Deluxe Corporation,2019-08-13,0,0000027996-20-000020,2020-02-20,8-K,"5.02,7.01,9.01",a20202198-k.htm,1,2017-08-13,2020-03-01,1
27996,27996,Deluxe Corporation,2019-08-13,0,0000027996-19-000085,2019-07-22,8-K,"5.02,7.01,9.01",a20197228-k.htm,1,2017-08-13,2020-03-01,1
27996,27996,Deluxe Corporation,2019-08-13,0,0000027996-19-000082,2019-06-18,8-K,5.02,a20196188-k.htm,1,2017-08-13,2020-03-01,1
27996,27996,Deluxe Corporation,2019-08-13,0,0000027996-19-000039,2019-03-12,8-K,5.02,a201903128-k.htm,1,2017-08-13,2020-03-01,1
27996,27996,Deluxe Corporation,2019-08-13,0,0000027996-19-000012,2019-01-25,8-K,5.02,a201901258-k.htm,1,2017-08-13,2020-03-01,1
27996,27996,Deluxe Corporation,2019-08-13,0,0001140361-18-042450,2018-11-06,8-K,"5.02,9.01",s002521x1_8k.htm,1,2017-08-13,2020-03-01,1
27996,27996,Deluxe Corporation,2019-08-13,0,0001140361-18-019659,2018-04-26,8-K,"5.02,9.01",s002231x1_8k.htm,1,2017-08-13,2020-03-01,1
33185,33185,"Equifax, Inc.",2014-01-31,0,0001144204-14-029598,2014-05-12,8-K,"5.02,9.01",v378250_8k.htm,1,2012-02-01,2014-09-01,1
33185,33185,"Equifax, Inc.",2014-01-31,0,0001144204-13-055259,2013-10-15,8-K,"5.02,9.01",v357402_8k.htm,1,2012-02-01,2014-09-01,1
33185,33185,"Equifax, Inc.",2014-01-31,0,0001144204-13-027066,2013-05-08,8-K,"5.02,5.07,9.01",v344230_8k.htm,1,2012-02-01,2014-09-01,1
33185,33185,"Equifax, Inc.",2014-01-31,0,0001144204-12-058285,2012-10-29,8-K,"5.02,8.01,9.01",v326783_8k.htm,1,2012-02-01,2014-09-01,1
33185,33185,"Equifax, Inc.",2014-01-31,0,0001144204-12-009385,2012-02-15,8-K,"5.02,9.01",v302726_8k.htm,1,2012-02-01,2014-09-01,1
33185,33185,TALX Corporation,2016-01-01,0,0001193125-17-320321,2017-10-26,8-K,"5.02,9.01",d461446d8k.htm,1,2014-01-01,2017-11-11,1
33185,33185,TALX Corporation,2016-01-01,0,0001193125-17-301130,2017-10-02,8-K,"5.02,8.01,9.01",d335628d8k.htm,1,2014-01-01,2017-11-11,1
33185,33185,TALX Corporation,2016-01-01,0,0001193125-17-293765,2017-09-26,8-K,"5.02,9.01",d420554d8k.htm,1,2014-01-01,2017-11-11,1
33185,33185,TALX Corporation,2016-01-01,0,0001193125-16-771552,2016-11-18,8-K,"5.02,9.01",d292527d8k.htm,1,2014-01-01,2017-11-11,1
33185,33185,TALX Corporation,2016-01-01,0,0001193125-16-713479,2016-09-19,8-K,"5.02,9.01",d257536d8k.htm,1,2014-01-01,2017-11-11,1
33185,33185,TALX Corporation,2016-01-01,0,0001144204-14-029598,2014-05-12,8-K,"5.02,9.01",v378250_8k.htm,1,2014-01-01,2017-11-11,1
33185,33185,TALX Corporation,2016-04-18,0,0001193125-17-320321,2017-10-26,8-K,"5.02,9.01",d461446d8k.htm,1,2014-04-19,2018-01-17,1
33185,33185,TALX Corporation,2016-04-18,0,0001193125-17-301130,2017-10-02,8-K,"5.02,8.01,9.01",d335628d8k.htm,1,2014-04-19,2018-01-17,1
33185,33185,TALX Corporation,2016-04-18,0,0001193125-17-293765,2017-09-26,8-K,"5.02,9.01",d420554d8k.htm,1,2014-04-19,2018-01-17,1
33185,33185,TALX Corporation,2016-04-18,0,0001193125-16-771552,2016-11-18,8-K,"5.02,9.01",d292527d8k.htm,1,2014-04-19,2018-01-17,1
33185,33185,TALX Corporation,2016-04-18,0,0001193125-16-713479,2016-09-19,8-K,"5.02,9.01",d257536d8k.htm,1,2014-04-19,2018-01-17,1
33185,33185,TALX Corporation,2016-04-18,0,0001144204-14-029598,2014-05-12,8-K,"5.02,9.01",v378250_8k.htm,1,2014-04-19,2018-01-17,1
33185,33185,TALX Corporation,2017-03-09,0,0001193125-17-320321,2017-10-26,8-K,"5.02,9.01",d461446d8k.htm,1,2015-03-10,2017-11-15,1
33185,33185,TALX Corporation,2017-03-09,0,0001193125-17-301130,2017-10-02,8-K,"5.02,8.01,9.01",d335628d8k.htm,1,2015-03-10,2017-11-15,1
