phase,cik,breach_date,accession,status,path
documents,20520,2022-02-24,0001193125-20-050127,already_on_disk,Data\edgar\item5_02_text\20520\0001193125-20-050127_d896833d8k.htm
documents,20520,2023-12-18,0001140361-24-026861,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-24-026861_ef20029460_8k.htm
documents,20520,2023-12-18,0000950157-24-000104,already_on_disk,Data\edgar\item5_02_text\20520\0000950157-24-000104_form8-k.htm
documents,20520,2023-12-18,0001140361-22-023997,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-22-023997_brhc10039037_8k.htm
documents,20520,2024-04-13,0001140361-24-026861,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-24-026861_ef20029460_8k.htm
documents,20520,2024-04-13,0000950157-24-000104,already_on_disk,Data\edgar\item5_02_text\20520\0000950157-24-000104_form8-k.htm
documents,20520,2024-04-13,0001140361-22-023997,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-22-023997_brhc10039037_8k.htm
documents,20520,2024-06-10,0001140361-24-026861,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-24-026861_ef20029460_8k.htm
documents,20520,2024-06-10,0000950157-24-000104,already_on_disk,Data\edgar\item5_02_text\20520\0000950157-24-000104_form8-k.htm
documents,20520,2024-06-10,0001140361-22-023997,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-22-023997_brhc10039037_8k.htm
documents,27904,2017-09-01,0001683168-18-001046,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-18-001046_delta_8k.htm
documents,27904,2017-09-01,0001683168-17-002723,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-17-002723_delta_8k.htm
documents,27904,2017-09-01,0001683168-17-000876,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-17-000876_delta_8k.htm
documents,27904,2017-09-01,0001683168-17-000167,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-17-000167_delta_8k.htm
documents,27904,2017-09-01,0001683168-16-000288,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-16-000288_delta_8k.htm
documents,27904,2017-09-01,0001019687-16-006642,already_on_disk,Data\edgar\item5_02_text\27904\0001019687-16-006642_delta_8k.htm
documents,27904,2017-09-01,0001019687-16-005064,already_on_disk,Data\edgar\item5_02_text\27904\0001019687-16-005064_delta_8k.htm
documents,27904,2017-09-26,0001683168-18-001046,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-18-001046_delta_8k.htm
documents,27904,2017-09-26,0001683168-17-002723,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-17-002723_delta_8k.htm
documents,27904,2017-09-26,0001683168-17-000876,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-17-000876_delta_8k.htm
documents,27904,2017-09-26,0001683168-17-000167,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-17-000167_delta_8k.htm
documents,27904,2017-09-26,0001683168-16-000288,already_on_disk,Data\edgar\item5_02_text\27904\0001683168-16-000288_delta_8k.htm
documents,27904,2017-09-26,0001019687-16-006642,already_on_disk,Data\edgar\item5_02_text\27904\0001019687-16-006642_delta_8k.htm
documents,27904,2017-09-26,0001019687-16-005064,already_on_disk,Data\edgar\item5_02_text\27904\0001019687-16-005064_delta_8k.htm
documents,27996,2019-08-13,0000027996-20-000020,already_on_disk,Data\edgar\item5_02_text\27996\0000027996-20-000020_a20202198-k.htm
documents,27996,2019-08-13,0000027996-19-000085,already_on_disk,Data\edgar\item5_02_text\27996\0000027996-19-000085_a20197228-k.htm
documents,27996,2019-08-13,0000027996-19-000082,already_on_disk,Data\edgar\item5_02_text\27996\0000027996-19-000082_a20196188-k.htm
documents,27996,2019-08-13,0000027996-19-000039,already_on_disk,Data\edgar\item5_02_text\27996\0000027996-19-000039_a201903128-k.htm
documents,27996,2019-08-13,0000027996-19-000012,already_on_disk,Data\edgar\item5_02_text\27996\0000027996-19-000012_a201901258-k.htm
documents,27996,2019-08-13,0001140361-18-042450,already_on_disk,Data\edgar\item5_02_text\27996\0001140361-18-042450_s002521x1_8k.htm
documents,27996,2019-08-13,0001140361-18-019659,already_on_disk,Data\edgar\item5_02_text\27996\0001140361-18-019659_s002231x1_8k.htm
documents,33185,2014-01-31,0001144204-14-029598,already_on_disk,Data\edgar\item5_02_text\33185\0001144204-14-029598_v378250_8k.htm
documents,33185,2014-01-31,0001144204-13-055259,already_on_disk,Data\edgar\item5_02_text\33185\0001144204-13-055259_v357402_8k.htm
documents,33185,2014-01-31,0001144204-13-027066,already_on_disk,Data\edgar\item5_02_text\33185\0001144204-13-027066_v344230_8k.htm
documents,33185,2014-01-31,0001144204-12-058285,already_on_disk,Data\edgar\item5_02_text\33185\0001144204-12-058285_v326783_8k.htm
documents,33185,2014-01-31,0001144204-12-009385,already_on_disk,Data\edgar\item5_02_text\33185\0001144204-12-009385_v302726_8k.htm
documents,33185,2016-01-01,0001193125-17-320321,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-17-320321_d461446d8k.htm
documents,33185,2016-01-01,0001193125-17-301130,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-17-301130_d335628d8k.htm
documents,33185,2016-01-01,0001193125-17-293765,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-17-293765_d420554d8k.htm
documents,33185,2016-01-01,0001193125-16-771552,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-16-771552_d292527d8k.htm
documents,33185,2016-01-01,0001193125-16-713479,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-16-713479_d257536d8k.htm
documents,33185,2016-01-01,0001144204-14-029598,already_on_disk,Data\edgar\item5_02_text\33185\0001144204-14-029598_v378250_8k.htm
documents,33185,2016-04-18,0001193125-17-320321,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-17-320321_d461446d8k.htm
documents,33185,2016-04-18,0001193125-17-301130,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-17-301130_d335628d8k.htm
documents,33185,2016-04-18,0001193125-17-293765,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-17-293765_d420554d8k.htm
documents,33185,2016-04-18,0001193125-16-771552,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-16-771552_d292527d8k.htm
documents,33185,2016-04-18,0001193125-16-713479,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-16-713479_d257536d8k.htm
documents,33185,2016-04-18,0001144204-14-029598,already_on_disk,Data\edgar\item5_02_text\33185\0001144204-14-029598_v378250_8k.htm
documents,33185,2017-03-09,0001193125-17-320321,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-17-320321_d461446d8k.htm
documents,33185,2017-03-09,0001193125-17-301130,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-17-301130_d335628d8k.htm
documents,33185,2017-03-09,0001193125-17-293765,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-17-293765_d420554d8k.htm
documents,33185,2017-03-09,0001193125-16-771552,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-16-771552_d292527d8k.htm
documents,33185,2017-03-09,0001193125-16-713479,already_on_disk,Data\edgar\item5_02_text\33185\0001193125-16-713479_d257536d8k.htm
documents,40704,2022-11-18,0001193125-23-137156,already_on_disk,Data\edgar\item5_02_text\40704\0001193125-23-137156_d408002d8k.htm
documents,40704,2022-11-18,0001193125-22-255620,already_on_disk,Data\edgar\item5_02_text\40704\0001193125-22-255620_d514129d8k.htm
documents,40704,2022-11-18,0001193125-22-185819,already_on_disk,Data\edgar\item5_02_text\40704\0001193125-22-185819_d365231d8k.htm
documents,40704,2022-11-18,0001193125-21-350290,already_on_disk,Data\edgar\item5_02_text\40704\0001193125-21-350290_d257144d8k.htm
documents,40704,2022-11-18,0001564590-21-037515,already_on_disk,Data\edgar\item5_02_text\40704\0001564590-21-037515_gis-8k_20210716.htm
documents,43196,2016-02-16,0001437749-17-000933,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-17-000933_gtn20170120_8k.htm
documents,43196,2016-02-16,0001437749-16-038936,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-16-038936_gtn20160920_8k.htm
documents,43196,2016-02-16,0001437749-16-034694,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-16-034694_gtn20160630_8k.htm
documents,43196,2016-02-16,0001437749-16-024501,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-16-024501_gtn20160202_8k.htm
documents,43196,2016-02-16,0001437749-15-014446,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-15-014446_gtn20150731_8k.htm
documents,43196,2016-08-08,0001437749-17-000933,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-17-000933_gtn20170120_8k.htm
documents,43196,2016-08-08,0001437749-16-038936,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-16-038936_gtn20160920_8k.htm
documents,43196,2016-08-08,0001437749-16-034694,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-16-034694_gtn20160630_8k.htm
documents,43196,2016-08-08,0001437749-16-024501,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-16-024501_gtn20160202_8k.htm
documents,43196,2016-08-08,0001437749-15-014446,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-15-014446_gtn20150731_8k.htm
documents,43196,2021-09-01,0001437749-22-011229,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-22-011229_gtn20220505b_8k.htm
documents,43196,2021-09-01,0001437749-22-004783,already_on_disk,Data\edgar\item5_02_text\43196\0001437749-22-004783_gtn20220301_8k.htm
