candidate_type,cik,org,breach_date,crsp_permno,comnam_at_breach,candidate,confidence,reason,shared_tokens,generic_only
ncusip_name_mismatch,732717,AT&T,2022-06-01,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T Inc.,2024-03-17,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T Inc.,2024-03-26,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T Inc,2024-04-09,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T Inc.,2024-04-14,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,790070,EMC Corporation,2014-01-07,10147.0,E M C CORP MA,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1105705,TimeWarner,2015-02-19,77418.0,TIME WARNER INC NEW,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1166691,NBC Sports Group,2012-08-24,89525.0,COMCAST CORP NEW,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1166691,NBC Sports Group,2013-08-24,89525.0,COMCAST CORP NEW,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1166691,NBC Sports Group,2013-10-15,89525.0,COMCAST CORP NEW,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1512673,"Block and Company, Inc.",2016-02-01,15826.0,SQUARE INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1512673,"Block and Company, Inc.",2016-02-09,15826.0,SQUARE INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1512673,"Block and Company, Inc.",2016-03-21,15826.0,SQUARE INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1652044,Google Inc.,2016-03-29,90319.0,ALPHABET INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1652044,Google Inc.,2016-05-06,90319.0,ALPHABET INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1652044,Google Inc.,2016-08-10,90319.0,ALPHABET INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1652044,"Google, Inc.",2017-06-29,90319.0,ALPHABET INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,1669779,CWGS Group,2022-01-14,16437.0,CAMPING WORLD HOLDINGS INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
