anchor,basis,L,gap,returns,winsor,estimator,n,coef,se,p
breach,trading,21,1,simple,raw,SD,331,0.199,0.1624,0.2239
breach,trading,21,3,simple,raw,SD,331,0.1992,0.1586,0.2128
notification,calendar,31,0,log,raw,SD,331,0.1994,0.1748,0.2576
breach,trading,42,5,log,raw,SD,331,0.1996,0.1389,0.1545
breach,trading,31,3,simple,raw,SD,331,0.2002,0.1524,0.1928
breach,calendar,42,0,log,w199,SD,331,0.2003,0.13,0.1274
notification,calendar,31,0,simple,w199,SD,331,0.2006,0.1696,0.2405
breach,calendar,31,0,log,w199,SD,331,0.2032,0.1304,0.1231
breach,calendar,21,1,log,raw,SD,331,0.2038,0.1841,0.2716
breach,calendar,31,1,log,w199,SD,331,0.204,0.136,0.1376
notification,calendar,31,0,simple,raw,SD,331,0.2063,0.1769,0.247
breach,trading,42,5,simple,raw,SD,331,0.2077,0.1455,0.1571
breach,calendar,42,5,log,raw,SD,331,0.2079,0.1555,0.1851
breach,calendar,31,0,simple,w199,SD,331,0.2093,0.1284,0.107
breach,calendar,21,1,simple,raw,SD,331,0.2096,0.1817,0.2521
breach,calendar,42,1,simple,w199,SD,331,0.21,0.1324,0.1166
breach,calendar,31,1,simple,w199,SD,331,0.2106,0.1343,0.1208
breach,trading,21,5,log,raw,SD,331,0.2113,0.1681,0.2124
breach,trading,21,0,log,w199,SD,331,0.212,0.1392,0.1318
notification,trading,21,0,log,w199,SD,331,0.2121,0.1672,0.2084
breach,calendar,42,0,simple,w199,SD,331,0.2127,0.1304,0.1067
notification,trading,21,0,log,raw,SD,331,0.2165,0.1765,0.2235
breach,calendar,42,1,log,raw,SD,331,0.2171,0.1481,0.1465
breach,calendar,42,0,log,raw,SD,331,0.2189,0.1453,0.1359
breach,calendar,31,5,log,raw,SD,331,0.2195,0.1595,0.1727
breach,calendar,42,5,simple,raw,SD,331,0.2201,0.1644,0.1845
breach,calendar,31,0,log,raw,SD,331,0.2207,0.1484,0.1409
breach,trading,21,0,simple,w199,SD,331,0.2215,0.1389,0.1147
notification,trading,21,0,simple,w199,SD,331,0.2221,0.172,0.2002
breach,calendar,31,1,log,raw,SD,331,0.2228,0.1532,0.1498
notification,trading,21,0,simple,raw,SD,331,0.2231,0.1783,0.2146
breach,trading,21,5,simple,raw,SD,331,0.224,0.172,0.1964
breach,calendar,21,0,log,raw,SD,331,0.2244,0.182,0.2214
breach,trading,21,0,log,raw,SD,331,0.2285,0.1557,0.1461
breach,calendar,21,0,simple,raw,SD,331,0.229,0.1794,0.2055
breach,calendar,31,5,simple,raw,SD,331,0.232,0.163,0.1585
breach,calendar,42,1,simple,raw,SD,331,0.2322,0.1525,0.1317
breach,calendar,31,0,simple,raw,SD,331,0.2338,0.1515,0.1268
breach,calendar,42,0,simple,raw,SD,331,0.2344,0.1496,0.1211
breach,calendar,31,1,simple,raw,SD,331,0.2354,0.1564,0.1362
breach,trading,21,0,simple,raw,SD,331,0.2404,0.1581,0.1322
breach,calendar,21,3,log,w199,SD,331,0.2454,0.156,0.1197
notification,calendar,21,3,log,w199,SD,331,0.2461,0.2171,0.2604
notification,calendar,21,1,log,w199,SD,331,0.253,0.2161,0.2452
notification,calendar,21,3,log,raw,SD,331,0.2537,0.2295,0.2723
notification,calendar,21,1,simple,w199,SD,331,0.2576,0.2239,0.2534
notification,calendar,21,1,log,raw,SD,331,0.259,0.2285,0.2604
notification,calendar,21,3,simple,w199,SD,331,0.2604,0.2246,0.2499
breach,calendar,21,3,simple,w199,SD,331,0.2624,0.1583,0.1012
notification,calendar,21,1,simple,raw,SD,331,0.2659,0.2319,0.2551
notification,calendar,21,3,simple,raw,SD,331,0.2662,0.2332,0.2571
breach,calendar,21,3,log,raw,SD,331,0.2673,0.1682,0.116
notification,calendar,21,5,log,w199,SD,331,0.2734,0.214,0.2051
notification,calendar,21,5,log,raw,SD,331,0.2746,0.2281,0.2323
notification,calendar,21,0,log,w199,SD,331,0.2764,0.2137,0.1997
notification,calendar,21,0,simple,w199,SD,331,0.2789,0.2199,0.2082
breach,calendar,21,3,simple,raw,SD,331,0.283,0.1688,0.0975
notification,calendar,21,0,log,raw,SD,331,0.2845,0.2266,0.213
notification,calendar,21,5,simple,raw,SD,331,0.289,0.2319,0.2163
notification,calendar,21,0,simple,raw,SD,331,0.2906,0.2301,0.2104
breach,calendar,21,5,log,w199,SD,331,0.2913,0.1729,0.0959
breach,calendar,21,5,simple,w199,SD,331,0.2913,0.1674,0.0857
notification,calendar,21,5,simple,w199,SD,331,0.2924,0.2221,0.1918
breach,calendar,21,5,log,raw,SD,331,0.3101,0.1847,0.097
breach,calendar,21,5,simple,raw,SD,331,0.3253,0.1901,0.0909
