cik,car_30d,fcc_reportable,firm_size_log,leverage,roa,immediate_disclosure,prior_breaches_1yr,health_breach,n_breaches,org_name
313838,-8.80755,False,11.6012236805971,0.7744047195294042,0.004599402588969449,0.25,0.25,0.0,4,Sony Interactive Entertainment
315293,3.9504000000000006,False,10.867735857912,0.9109478951903337,0.014859235560104466,0.0,0.0,0.0,3,Aon Corporation
318154,-2.4063,False,11.778214239147156,0.8878146065945678,0.02079806942959475,0.0,0.0,0.0,2,Amgen Inc.
320193,3.4693,False,13.324651276376557,0.5303237867738407,0.04199241467168853,0.5714285714285714,0.2857142857142857,0.14285714285714285,7,Apple Inc.
354190,-1.3216,False,9.22520155158134,0.6836069470145832,0.0194217612006179,0.0,0.5,0.0,2,Gallagher NAC
354950,0.6724,False,11.57169424813586,0.6909521694061899,0.0250012340194481,0.0,0.0,0.0,1,The Home Depot
713676,-1.8161208333333334,False,10.889011605279544,0.8982752406339944,0.0027666672796183753,0.0,0.08333333333333333,0.125,24,Ametros Financial Corporation
718877,-2.4459,False,10.234095750895815,0.2024270788018952,0.0160287881168108,0.0,0.0,0.0,2,"Activision Publishing, Inc."
723254,-0.9051,False,10.45850924719532,0.5518297591522769,0.0372983699267758,0.0,0.0,0.0,1,Cintas Corporation
728535,-3.60245,False,9.449098371218115,0.5694992034041867,0.0219132272357981,0.0,0.5,0.0,2,"J.B. Hunt Transport, Inc."
732712,1.7252714285714286,True,12.050609673315263,0.7539318242831371,0.0102899498784191,0.5,0.7857142857142857,0.0,14,Verizon
732717,-1.1079,True,12.09199723518969,0.6792362958598417,0.006422820019913028,0.25,1.1875,0.0,32,AT&T
764180,3.8114,False,11.98551115501351,0.5826088570129617,0.0266749552324664,0.0,0.0,0.0,1,"Altria Group, Inc."
773840,1.7491500000000002,False,11.791874840133396,0.7116582983164677,0.02271947309454215,0.0,0.25,0.0,4,Honeywell International Inc.
777676,9.415766666666668,False,11.686917541921352,0.45675166899750835,0.0358583819295386,0.6666666666666666,0.3333333333333333,0.0,3,Oracle Corporation
789019,-0.5748749999999998,False,14.06628625352028,0.5982373657382867,0.04318979751281365,0.0,0.25,0.0,4,Microsoft Corporation
789570,-6.73435,False,9.633267042389392,0.7641487840833746,0.00306170457059465,0.0,0.0,0.0,2,MGM Resorts International
796343,7.902333333333334,False,10.639176012781007,0.3845288903686621,0.018583421940084,0.3333333333333333,0.3333333333333333,0.0,3,Adobe Systems Incorporated
815097,0.20578000000000002,False,10.175989131556573,0.5496573748512047,-0.02968845268695584,0.0,0.4,0.2,5,Carnival Corporation
820313,4.5721,False,10.61827329657857,0.6031142034878529,0.0253930531420211,0.0,0.0,0.0,1,Amphenol Canada Corporation
823768,-0.6881999999999999,False,10.350740705635129,0.715299520931933,0.01343381466219575,0.0,0.0,0.0,2,"USA Waste-Management Resources, LLC"
831001,0.2995000000000001,False,11.80738920956731,0.9118583790401935,0.0024082463621604997,0.0,0.0,0.0,2,CWGS Group
831259,-5.733,False,10.9571024752735,0.4887343587325908,0.0067377767301157,0.0,0.0,0.0,1,Freeport-McMoRan Inc.
832101,-2.0015,False,9.476986698393285,0.4198032259083598,0.0310995367031892,0.0,0.0,0.0,1,Deluxe Corporation
858877,-10.231349999999999,False,11.56789468983923,0.4480668616049922,0.0244457141576759,0.5,0.5,0.0,2,"Cisco Systems, Inc."
860731,15.4136,False,9.543591884772924,0.2322122592332062,0.0226190256342241,0.0,0.0,0.0,1,"Tyler Technologies, Inc."
872589,-5.9843,False,7.682290713869258,0.5092827851150217,-0.0387750331573411,0.0,0.0,0.0,1,"Regeneron Pharmaceuticals, Inc."
874761,-0.1494857142857143,False,9.645177607180358,0.8325626067932284,-0.0034007623545332,0.0,0.2857142857142857,0.2857142857142857,7,Ariel Corporation
877890,3.4538500000000005,False,9.554640565395607,0.7325633211095041,0.02393292016375258,0.16666666666666666,0.0,0.0,6,Citrix
879585,1.9217166666666667,False,6.971132354464764,0.7759613911370423,0.0063796423087733,0.0,0.16666666666666666,0.0,6,Gray Television
896878,1.787503157894737,False,10.45567357858639,0.6788178114830944,0.02829022486272705,0.37894736842105264,4.926315789473684,0.0,95,"Intuit, Inc."
906163,4.5603,False,9.749624301397288,0.4766178509925083,0.0427366784817503,0.0,0.0,0.0,1,"NVR Settlement Services of Maryland, Inc."
908937,1.2484,False,9.822020320452728,1.0552118863129527,0.021439776282750827,0.5,2.625,0.0,16,Sirius XM Radio Inc
909832,3.5603,False,10.83730938550787,0.6323965627962448,0.0144643894682119,0.0,0.0,0.0,1,Costco Photo Center
912752,0.17459999999999942,False,7.593343011475372,1.0332197945481114,0.0016842078805181999,0.25,0.5,0.0,4,"Sinclair Broadcast Group, Inc"
920522,-4.7938,False,8.687876714921455,0.6097264715265751,0.0052014252624729,0.0,0.0,0.0,1,"Essex Property Trust, Inc."
920760,-3.9913,False,10.33490469966155,0.3173440590561203,0.023650263240881,0.0,0.0,0.0,1,Lennar Corporation
924613,15.1285,False,10.06967907127389,0.5883059072135214,-0.0101987931801033,0.6666666666666666,0.3333333333333333,0.0,3,Nokia Inc.
927628,2.885664285714285,False,10.639540640622235,0.8681628764219955,0.0030532309942329287,0.0,0.07142857142857142,0.21428571428571427,14,Aladdin Capital
943452,1.4117,False,9.747670487643504,0.4451609407174597,0.0103067085726671,0.0,0.0,0.0,1,Wabtec Corporation
1000228,-17.7406,False,9.267646052194127,0.4526568991909031,0.0153072381368904,0.0,0.0,1.0,1,"Henry Schein, Inc."
1001082,-26.44588333333333,True,8.923725934883224,0.6592908503784437,0.014385263773506601,0.16666666666666666,1.1666666666666667,0.0,6,Boost Mobile
1001250,-20.9982,False,11.310484690424294,0.7121261804244247,0.0041086880487959665,0.0,1.0,0.3333333333333333,3,The Est̩e Lauder Companies Inc.
1004980,-4.3584,False,8.45516116053914,0.9652015490391744,-0.0180171932362284,0.0,0.0,0.0,1,E.W. Wylie Corporation
1034054,1.1213478260869567,False,10.086631579362278,1.4070575032253916,0.006305413643461113,0.0,0.13043478260869565,0.0,23,"American Alarm & Communications, Inc."
1041061,-1.0275,False,10.48744467185771,2.518303113239822,0.0634621963735887,0.0,0.0,0.0,1,"Yum! Brands, Inc."
1043277,-3.4476,False,9.2134485814844,0.7358646188262634,0.0154107054841907,0.0,0.0,0.0,1,"Robinson Waters & O'Dorisio, P.C."
1048286,-7.6394,False,10.80086698776089,0.9719372480140512,0.0111372799489042,0.0,0.0,0.0,1,"Marriott International, Inc."
1048911,-2.8248,False,10.25469121688442,0.4321044195099611,0.008816120906801,0.0,0.0,0.0,1,"FedEx Ground Package System, Inc."
1051470,-6.6404,False,9.969933093997756,0.8074658013465427,0.0029443255505739,0.5,0.5,0.0,2,Crown Castle
1058290,-7.1071,False,10.13222622194337,0.3910723506799013,0.0210568592575592,0.0,0.0,0.0,1,Cognizant Technology Solutions Corporation
1060391,-0.08079999999999989,False,9.92325006933531,0.6239837543558904,0.009195606376583157,0.2857142857142857,0.5714285714285714,0.0,7,Republic Services
1065696,0.0496,False,9.566369617496552,0.5438611064960956,0.0161156338262169,0.0,0.0,0.0,1,Fluke Corporation
1071739,-0.8209,False,8.774053793866951,0.6983064736410817,0.0127014476918874,1.0,0.0,1.0,1,Centene Management Corporation
