accession,cik,status,bytes
0000773840-23-000076,773840,already_on_disk,42710
0000773840-23-000088,773840,already_on_disk,37810
0000773840-24-000006,773840,already_on_disk,38056
0001193125-15-318450,789019,already_on_disk,11417
0001193125-16-643151,789019,already_on_disk,10433
0001193125-17-082168,789019,already_on_disk,15349
0001193125-17-288464,789019,already_on_disk,16255
0001193125-17-357415,789019,already_on_disk,53833
0001193125-18-277602,789019,already_on_disk,15135
0001193125-19-249565,789019,already_on_disk,15933
0001193125-20-073072,789019,already_on_disk,31808
0001193125-20-184744,789019,already_on_disk,31196
0001193125-20-188481,789019,already_on_disk,30157
0001193125-21-167940,789019,already_on_disk,27223
0001193125-18-084015,789570,already_on_disk,16649
0001193125-18-255165,789570,already_on_disk,17889
0001193125-18-297663,789570,already_on_disk,18652
0001193125-19-012788,789570,already_on_disk,15890
0001193125-19-048428,789570,already_on_disk,18696
0001193125-20-038441,789570,already_on_disk,33896
0001193125-21-370665,789570,already_on_disk,22312
0001193125-22-145101,789570,already_on_disk,50543
0000789570-22-000020,789570,already_on_disk,40965
0001193125-22-226494,789570,already_on_disk,48692
0001193125-23-056496,789570,already_on_disk,29512
0001104659-11-069679,796343,already_on_disk,40353
0001104659-12-004271,796343,already_on_disk,94796
0001104659-12-025271,796343,already_on_disk,80508
0001104659-12-036984,796343,already_on_disk,23472
0001104659-12-047044,796343,already_on_disk,17632
0001104659-12-082162,796343,already_on_disk,59182
0000796343-13-000017,796343,already_on_disk,113317
0000796343-13-000030,796343,already_on_disk,35407
0000796343-13-000036,796343,already_on_disk,95294
0000796343-14-000007,796343,already_on_disk,99032
0000796343-17-000188,796343,already_on_disk,39650
0000796343-18-000039,796343,already_on_disk,77748
0000796343-18-000072,796343,already_on_disk,22147
0000796343-18-000088,796343,already_on_disk,90267
0000796343-18-000179,796343,already_on_disk,22123
0000796343-19-000008,796343,already_on_disk,25162
0000796343-19-000024,796343,already_on_disk,93234
0000796343-19-000091,796343,already_on_disk,80812
0000796343-20-000040,796343,already_on_disk,111697
0000796343-20-000085,796343,already_on_disk,107976
0001193125-19-010578,815097,already_on_disk,22704
0000815097-20-000033,815097,already_on_disk,73756
0000815097-20-000111,815097,already_on_disk,58750
0000815097-21-000033,815097,already_on_disk,56217
0001104659-22-051225,815097,already_on_disk,51043
0001104659-22-061290,815097,already_on_disk,50551
0000815097-22-000047,815097,already_on_disk,57691
0001104659-19-010295,823768,already_on_disk,55112
0001410578-19-000883,823768,already_on_disk,25724
0001104659-20-024590,823768,already_on_disk,49151
0001104659-20-042259,823768,already_on_disk,29155
0001104659-21-029723,823768,already_on_disk,44907
0001104659-21-036763,823768,already_on_disk,28204
0000831259-21-000035,831259,already_on_disk,42424
0000831259-21-000040,831259,already_on_disk,34095
0000831259-22-000006,831259,already_on_disk,43348
0000831259-22-000015,831259,already_on_disk,30058
0000831259-23-000007,831259,already_on_disk,33122
0000831259-24-000005,831259,already_on_disk,26940
0001193125-11-043592,858877,already_on_disk,13997
0001193125-11-067985,858877,already_on_disk,21668
0001193125-11-073802,858877,already_on_disk,13001
0001193125-11-252379,858877,already_on_disk,18568
0001193125-11-335127,858877,already_on_disk,60282
0001193125-12-332045,858877,already_on_disk,15503
0001193125-12-396875,858877,already_on_disk,14422
0001193125-12-415386,858877,already_on_disk,18609
0000950123-08-015831,872589,already_on_disk,11238
0001206774-10-002373,872589,already_on_disk,17141
