accession,cik,filing_date,form,items,text_ok,section_found,section_chars,ref_dates,labels,exec_departure,ceo_departure,director_departure,appointment,election,compensation,notice_date,effective_date,previously_phrase,flag_retirement,flag_health,flag_transaction,flag_termination,flag_severance_release,flag_no_disagreement,action
0001193125-22-185819,40704,2022-06-30,8-K,"5.02,8.01,9.01",1,1,824,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-22-255620,40704,2022-09-30,8-K,"5.02,5.07,9.01",1,1,749,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-23-137156,40704,2023-05-05,8-K,"5.02,9.01",1,1,272,2023-05-01,,0,0,1,0,0,0,2023-05-01,,0,0,0,0,0,0,0,departure
0001437749-15-014446,43196,2015-07-31,8-K,5.02,1,1,869,2015-07-01,,0,0,0,0,1,1,,,1,0,0,0,0,0,0,election
0001437749-16-024501,43196,2016-02-02,8-K,"5.02,7.01,9.01",1,1,2270,2016-01-27;2016-02-01,,0,0,0,1,0,0,,,0,0,0,0,0,0,0,appointment
0001437749-16-034694,43196,2016-06-30,8-K,"5.02,9.01",1,1,789,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001437749-16-038936,43196,2016-09-21,8-K,"5.02,7.01,9.01",1,1,1033,2016-09-20,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001437749-17-000933,43196,2017-01-20,8-K,"2.02,5.02,7.01,9.01",1,1,2769,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-21-057034,43196,2021-02-25,8-K,"5.02,7.01,8.01,9.01",1,1,1438,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001437749-22-004783,43196,2022-03-01,8-K,"5.02,7.01,9.01",1,1,1487,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001437749-22-011229,43196,2022-05-06,8-K,"5.02,5.07",1,1,726,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000047111-23-000006,47111,2023-02-06,8-K,"5.02,9.01",1,1,482,2023-02-02;2023-05-16,,0,0,1,0,0,0,2023-02-02,,0,0,0,0,0,0,1,departure
0000047217-05-000167,47217,2005-09-28,8-K,"1.01,5.02,5.03,9.01",1,1,464,2005-09-23,b,0,0,1,0,0,0,2005-09-23,,0,1,0,0,0,0,0,departure
0001104659-05-057353,47217,2005-11-23,8-K,"1.01,5.02,5.03,9.01",1,1,871,2005-08-29,d,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0001104659-06-002894,47217,2006-01-19,8-K/A,5.02,1,1,306,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001104659-06-036450,47217,2006-05-22,8-K,"5.02,5.03,9.01",1,1,247,2006-05-18,b,0,0,1,0,0,0,2006-05-18,immediately,0,0,0,0,0,0,0,departure
0001104659-06-060568,47217,2006-09-12,8-K,"5.02,5.03,8.01,9.01",1,1,1080,,b,1,0,1,0,0,0,,immediately,0,0,0,0,0,0,1,departure
0001104659-06-062623,47217,2006-09-22,8-K,"5.02,5.03,9.01",1,1,1129,,b,1,0,0,1,1,0,,immediately,1,0,0,0,0,0,0,departure
0001104659-06-075980,47217,2006-11-17,8-K,"5.02,5.03,9.01",1,1,965,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
