final_cik,breach_date,reported_date,fcc_form499,exec_departure_30_rd,ceo_departure_30_rd,director_departure_30_rd,any_502_30_rd,exec_departure_nopre_30_rd,exec_departure_90_rd,ceo_departure_90_rd,director_departure_90_rd,any_502_90_rd,exec_departure_nopre_90_rd,exec_departure_180_rd,ceo_departure_180_rd,director_departure_180_rd,any_502_180_rd,exec_departure_nopre_180_rd,days_to_first_exec_departure_rd,placebo_exec_departure_rd,baseline_exec_departures_rd,baseline_exec_rate_py_rd,exec_departure_30_bd,ceo_departure_30_bd,director_departure_30_bd,any_502_30_bd,exec_departure_nopre_30_bd,exec_departure_90_bd,ceo_departure_90_bd,director_departure_90_bd,any_502_90_bd,exec_departure_nopre_90_bd,exec_departure_180_bd,ceo_departure_180_bd,director_departure_180_bd,any_502_180_bd,exec_departure_nopre_180_bd,days_to_first_exec_departure_bd,placebo_exec_departure_bd,baseline_exec_departures_bd,baseline_exec_rate_py_bd
732717,2014-02-01,2015-04-20 00:00:00,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,122.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0
732717,2014-04-01,2014-06-13 00:00:00,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
732717,2014-04-09,2014-06-05 00:00:00,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
732717,2014-06-05,2015-04-20 00:00:00,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,122.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
732717,2014-06-11,2015-04-20 00:00:00,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,122.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
732717,2014-08-05,2014-10-02 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0
732717,2014-08-11,2014-10-01 00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
732717,2014-10-09,2014-10-09 00:00:00,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
732717,2014-10-16,2014-12-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
732717,2017-01-01,2017-05-19 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636
732717,2017-01-25,2017-05-19 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636
732717,2017-02-01,2017-09-14 00:00:00,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636
732717,2018-08-17,2018-08-17 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
732717,2018-08-21,2018-08-21 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
