final_cik,breach_date,org_name,reported_date,fcc_form499,permno,immediate_disclosure,firm_size_log,leverage,roa,prior_breaches_1yr,health_breach,rs_exec_departure_30_rd,rs_ceo_departure_30_rd,rs_director_departure_30_rd,any_502_30_rd,rs_exec_departure_nopre_30_rd,rs_exec_departure_90_rd,rs_ceo_departure_90_rd,rs_director_departure_90_rd,any_502_90_rd,rs_exec_departure_nopre_90_rd,rs_exec_departure_180_rd,rs_ceo_departure_180_rd,rs_director_departure_180_rd,any_502_180_rd,rs_exec_departure_nopre_180_rd,rs_days_to_first_exec_departure_rd,rs_placebo_exec_departure_rd,rs_baseline_exec_departures_rd,rs_baseline_exec_rate_py_rd,rs_exec_departure_30_bd,rs_ceo_departure_30_bd,rs_director_departure_30_bd,any_502_30_bd,rs_exec_departure_nopre_30_bd,rs_exec_departure_90_bd,rs_ceo_departure_90_bd,rs_director_departure_90_bd,any_502_90_bd,rs_exec_departure_nopre_90_bd,rs_exec_departure_180_bd,rs_ceo_departure_180_bd,rs_director_departure_180_bd,any_502_180_bd,rs_exec_departure_nopre_180_bd,rs_days_to_first_exec_departure_bd,rs_placebo_exec_departure_bd,rs_baseline_exec_departures_bd,rs_baseline_exec_rate_py_bd,exec_departure_30_rd,ceo_departure_30_rd,director_departure_30_rd,exec_departure_nopre_30_rd,exec_departure_90_rd,ceo_departure_90_rd,director_departure_90_rd,exec_departure_nopre_90_rd,exec_departure_180_rd,ceo_departure_180_rd,director_departure_180_rd,exec_departure_nopre_180_rd,days_to_first_exec_departure_rd,placebo_exec_departure_rd,baseline_exec_departures_rd,baseline_exec_rate_py_rd,exec_departure_30_bd,ceo_departure_30_bd,director_departure_30_bd,exec_departure_nopre_30_bd,exec_departure_90_bd,ceo_departure_90_bd,director_departure_90_bd,exec_departure_nopre_90_bd,exec_departure_180_bd,ceo_departure_180_bd,director_departure_180_bd,exec_departure_nopre_180_bd,days_to_first_exec_departure_bd,placebo_exec_departure_bd,baseline_exec_departures_bd,baseline_exec_rate_py_bd,outcome_cik,has_8k_activity,prior12m_mktadj_ret_rd,prior12m_ndays_rd,prior12m_mktadj_ret_bd,prior12m_ndays_bd,sic2,reported_year,breach_year,in_analysis_sample,bd180_before_rd
43196,2016-02-16,"Gray Television, Inc.",2016-08-31 00:00:00,0,83989.0,0.0,7.67,0.7997,0.0183,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,43196,1,-0.14333576448354513,252,0.1567636833718169,251,48,2016,2016,1,1
43196,2016-08-08,Gray Television,2016-08-31 00:00:00,0,83989.0,0.0,7.67,0.7997,0.0183,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,43196,1,-0.14333576448354513,252,-0.2821056512959388,251,48,2016,2016,1,0
43196,2021-09-01,"Gray Television, Inc.",2022-02-21 00:00:00,0,83989.0,0.0,8.9415,0.6856,0.0536,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,43196,1,0.10058532438487533,253,0.15535635827512784,252,48,2022,2021,1,0
47111,2023-09-03,The Hershey Company,2023-12-07 00:00:00,0,16600.0,0.0,9.301,0.6986,0.1502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,47111,1,-0.3199126458949809,251,-0.17668700213368682,250,20,2023,2023,1,0
47217,2007-07-01,Hewlett-Packard Company,2007-08-16 00:00:00,0,27828.0,0.0,11.3142,0.5347,0.0756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,4,2.6545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,1.9909,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1.9909,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,1.3273,47217,1,0.24468012025716313,251,0.20652024633056132,250,35,2007,2007,1,0
47217,2007-08-16,Hewlett Packard Company,2007-08-16 00:00:00,0,27828.0,1.0,11.3142,0.5347,0.0756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,4,2.6545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,4,2.6545,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1.9909,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1.9909,47217,1,0.24468012025716313,251,0.24468012025716313,251,35,2007,2007,1,0
47217,2008-12-04,Hewlett-Packard Company,2008-12-04 00:00:00,0,27828.0,1.0,11.6381,0.6564,0.0735,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,2,1.3273,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,2,1.3273,0,0,0,0,0,0,1,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,1,0,0,0,1,0,,0,2,1.3273,47217,1,0.10104990586868567,252,0.10104990586868567,252,35,2008,2008,1,0
47217,2008-12-08,Hewlett-Packard Company,2008-12-08 00:00:00,0,27828.0,1.0,11.6381,0.6564,0.0735,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,2,1.3273,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,2,1.3273,0,0,0,0,0,0,1,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,1,0,0,0,1,0,,0,2,1.3273,47217,1,0.0753994412988892,251,0.0753994412988892,251,35,2008,2008,1,0
47217,2010-02-09,Hewlett-Packard Company,2010-02-09 00:00:00,0,27828.0,1.0,11.6509,0.6471,0.0667,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,178.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,178.0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,178.0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,178.0,0,0,0.0,47217,1,0.02176464720698723,252,0.02176464720698723,252,35,2010,2010,1,0
51143,2007-02-23,IBM,2007-04-26 00:00:00,0,12490.0,0.0,11.5448,0.7239,0.0919,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,51143,1,0.07774435546320002,251,0.07165154148865249,251,35,2007,2007,1,0
51143,2011-04-14,IBM,2011-04-14 00:00:00,0,12490.0,1.0,11.6391,0.7958,0.1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,51143,1,0.1567621930682117,254,0.1567621930682117,254,35,2011,2011,1,0
