sample,outcome,anchor,window,version,group,n,v1_rate,v2_rate,flips_0_to_1,flips_1_to_0
Q2 scope 341,exec_departure,rd,90,v2 primary (person-merged),treated,107,0.1308,0.1121,1,3
Q2 scope 341,exec_departure,rd,90,v2 primary (person-merged),control,234,0.1368,0.1581,5,0
Q2 scope 341,exec_departure,rd,90,v2 rs (restatement-dated),treated,107,0.1308,0.1402,1,0
Q2 scope 341,exec_departure,rd,90,v2 rs (restatement-dated),control,234,0.1368,0.1581,5,0
Q2 scope 341,exec_departure,rd,180,v2 primary (person-merged),treated,107,0.3458,0.3178,1,4
Q2 scope 341,exec_departure,rd,180,v2 primary (person-merged),control,234,0.2521,0.2479,5,6
Q2 scope 341,exec_departure,rd,180,v2 rs (restatement-dated),treated,107,0.3458,0.3551,1,0
Q2 scope 341,exec_departure,rd,180,v2 rs (restatement-dated),control,234,0.2521,0.2735,5,0
Q2 scope 341,exec_departure,bd,30,v2 primary (person-merged),treated,107,0.0561,0.0561,0,0
Q2 scope 341,exec_departure,bd,30,v2 primary (person-merged),control,234,0.0684,0.0641,1,2
Q2 scope 341,exec_departure,bd,30,v2 rs (restatement-dated),treated,107,0.0561,0.0748,2,0
Q2 scope 341,exec_departure,bd,30,v2 rs (restatement-dated),control,234,0.0684,0.0726,1,0
Q2 scope 341,exec_departure,bd,90,v2 primary (person-merged),treated,107,0.1308,0.1215,1,2
Q2 scope 341,exec_departure,bd,90,v2 primary (person-merged),control,234,0.1282,0.141,6,3
Q2 scope 341,exec_departure,bd,90,v2 rs (restatement-dated),treated,107,0.1308,0.1402,1,0
Q2 scope 341,exec_departure,bd,90,v2 rs (restatement-dated),control,234,0.1282,0.1538,6,0
Q2 scope 341,exec_departure,bd,180,v2 primary (person-merged),treated,107,0.243,0.2243,1,3
Q2 scope 341,exec_departure,bd,180,v2 primary (person-merged),control,234,0.2393,0.235,6,7
Q2 scope 341,exec_departure,bd,180,v2 rs (restatement-dated),treated,107,0.243,0.2523,1,0
Q2 scope 341,exec_departure,bd,180,v2 rs (restatement-dated),control,234,0.2393,0.265,6,0
Q2 scope 341,ceo_departure,rd,30,v2 primary (person-merged),treated,107,0.0093,0.0,0,1
Q2 scope 341,ceo_departure,rd,30,v2 primary (person-merged),control,234,0.0043,0.0043,0,0
Q2 scope 341,ceo_departure,rd,30,v2 rs (restatement-dated),treated,107,0.0093,0.028,2,0
Q2 scope 341,ceo_departure,rd,30,v2 rs (restatement-dated),control,234,0.0043,0.0043,0,0
Q2 scope 341,ceo_departure,rd,90,v2 primary (person-merged),treated,107,0.0467,0.0374,0,1
Q2 scope 341,ceo_departure,rd,90,v2 primary (person-merged),control,234,0.0299,0.0299,0,0
Q2 scope 341,ceo_departure,rd,90,v2 rs (restatement-dated),treated,107,0.0467,0.0654,2,0
Q2 scope 341,ceo_departure,rd,90,v2 rs (restatement-dated),control,234,0.0299,0.0299,0,0
