accession,sub_row,person,title,role_class,action,verb,sentence
0001104659-13-086631,2,William E. Kennard,director,director,election,elect,Mr. Kennard has not been appointed to any committees of the Board as of the date of this filing.
0001104659-13-089600,1,William E. Kennard,director,director,election,elect,"On December 10, 2013, the Board appointed Mr. Kennard to the Finance and Risk Management Committee of the Board, effective January 1, 2014."
0001104659-14-000076,1,James E. Rogers,Board of Directors,director,departure,retired,"On December 31, 2013, James E. Rogers retired as Chairman of the Board of Directors of Duke Energy Corporation (“the Company”)."
0001104659-14-035262,1,Mr. Yates,executive officers who report to the Chief Executive Officer,CEO,appointment,will become,"In addition, effective July 3, 2014, Mr. Yates automatically will become a “Tier I” participant under the terms of the Duke Energy Corporation Executive Severance Plan (the “Plan”) on the same terms and conditions as apply to other executive officers who report to the Chief Executive Officer."
0001104659-14-053140,1,Duke Energy,Principal Operating Officer,COO,appointment,Appointment,"Appointment of Principal Operating Officer On July 24, 2014, Duke Energy Corporation (“Duke Energy”) announced a change in the responsibilities of Mr. B. Keith Trent and Mr. Lloyd M. Yates, effective August 1, 2014."
0001104659-14-053140,2,Keith Trent,"Executive Vice President, Grid Solutions and President",president,appointment,will become,"Mr. Trent, age 54, will become Executive Vice President, Grid Solutions and President, Midwest and Florida Regions."
0001104659-14-053140,3,Mr. Yates,"Executive Vice President, Market Solutions and President",president,appointment,will become,"Mr. Yates, age 53, will become Executive Vice President, Market Solutions and President, Carolinas Region."
0001104659-16-100726,1,Charles W. Moorman,director,director,election,elect,"On February 25, 2016, Charles W. Moorman was appointed to the Board of Directors (the “Board”) of Duke Energy Corporation (the “Corporation”), effective March 1, 2016."
0001104659-16-100726,2,Charles W. Moorman,Chief Executive Officer,CEO,departure,retired,"On December 31, 2015, Mr. Moorman retired as Chairman and Chief Executive Officer of Norfolk Southern Corporation where he was named President and Chief Executive Officer in 2005, Chairman, President and Chief Executive Officer in 2006, and Chairman and Chief Executive Officer in June 2013."
0001104659-16-110903,1,Mr. Dhiaa,Executive Vice President and Chief Operating Officer,COO,appointment,appointed,"On April 12, 2016, Duke Energy Corporation (the “Corporation”) announced that Mr. Dhiaa M. Jamil has been appointed as Executive Vice President and Chief Operating Officer, effective May 1, 2016, and that Mr. William E. Currens Jr. has been appointed as Senior Vice President, Chief Accounting Officer and Controller, effective May 16, 2016."
