cik,form,filing_date,items,accession,primary_doc,size,in_spec_scope,local_file
773840,8-K,2021-07-14,5.02,0001193125-21-215278,d153129d8k.htm,206563,1,Data\edgar\item5_02_text\773840\0001193125-21-215278_d153129d8k.htm
773840,8-K,2022-01-05,5.02,0000773840-22-000003,hon-20220105.htm,240827,0,Data\edgar\item5_02_text\773840\0000773840-22-000003_hon-20220105.htm
773840,8-K,2022-01-18,"5.02,9.01",0001193125-22-011376,d300159d8k.htm,218340,0,Data\edgar\item5_02_text\773840\0001193125-22-011376_d300159d8k.htm
773840,8-K,2022-07-28,"5.02,7.01,9.01",0001193125-22-204108,d376391d8k.htm,376431,1,Data\edgar\item5_02_text\773840\0001193125-22-204108_d376391d8k.htm
773840,8-K,2022-09-01,"5.02,7.01",0000773840-22-000058,hon-20220901.htm,290056,1,Data\edgar\item5_02_text\773840\0000773840-22-000058_hon-20220901.htm
773840,8-K,2022-09-21,5.02,0001193125-22-248396,d357106d8k.htm,204251,1,Data\edgar\item5_02_text\773840\0001193125-22-248396_d357106d8k.htm
773840,8-K,2022-09-30,5.02,0000773840-22-000062,hon-20220930.htm,238153,1,Data\edgar\item5_02_text\773840\0000773840-22-000062_hon-20220930.htm
773840,8-K,2022-10-26,5.02,0001193125-22-269566,d384236d8k.htm,202235,1,Data\edgar\item5_02_text\773840\0001193125-22-269566_d384236d8k.htm
773840,8-K,2023-03-14,"5.02,7.01,8.01,9.01",0001193125-23-069598,d780318d8k.htm,436219,1,Data\edgar\item5_02_text\773840\0001193125-23-069598_d780318d8k.htm
773840,8-K,2023-06-15,5.02,0000773840-23-000063,hon-20230615.htm,257548,1,Data\edgar\item5_02_text\773840\0000773840-23-000063_hon-20230615.htm
773840,8-K,2023-10-10,"2.02,5.02,8.01,9.01",0000773840-23-000076,hon-20231010.htm,284963,1,Data\edgar\item5_02_text\773840\0000773840-23-000076_hon-20231010.htm
773840,8-K,2023-11-28,"5.02,7.01,9.01",0000773840-23-000088,hon-20231128.htm,295586,1,Data\edgar\item5_02_text\773840\0000773840-23-000088_hon-20231128.htm
773840,8-K,2024-02-01,"5.02,7.01,9.01",0000773840-24-000006,hon-20240130.htm,268087,1,Data\edgar\item5_02_text\773840\0000773840-24-000006_hon-20240130.htm
