breach_date,reported_date,accession,filing_date,days_from_reported,items,items_7_01_8_01_1_05,incident_sentences,first_incident_passages
2020-04-15,2020-04-15,0001283699-20-000104,2020-05-06,21,"2.02,9.01",0,0,
2020-08-27,2020-12-08,0001193125-20-291827,2020-11-12,-26,5.02,0,0,
2020-08-27,2020-12-08,0001283699-21-000005,2021-01-06,29,"7.01,8.01,9.01",1,0,
2020-08-31,2020-10-09,0001140361-20-020744,2020-09-17,-22,"1.01,2.03,9.01",0,0,
2020-08-31,2020-10-09,0001140361-20-020891,2020-09-18,-21,"8.01,9.01",1,0,
2020-08-31,2020-10-09,0001140361-20-022594,2020-10-06,-3,"1.01,2.03,9.01",0,0,
2020-08-31,2020-10-09,0001140361-20-023975,2020-10-28,19,"1.01,2.03,9.01",0,0,
2020-08-31,2020-10-09,0001283699-20-000191,2020-11-05,27,"2.02,9.01",0,0,
2020-08-31,2020-10-09,0001283699-20-000198,2020-11-06,28,"2.02,9.01",0,0,
2021-01-18,2021-02-09,0001140361-21-001209,2021-01-14,-26,"1.01,2.03,8.01,9.01",1,0,
2021-01-18,2021-02-09,0001193125-21-025274,2021-02-02,-7,7.01,1,0,
2021-01-18,2021-02-09,0001283699-21-000011,2021-02-04,-5,"2.02,9.01",0,0,
2021-01-18,2021-02-09,0001193125-21-076354,2021-03-10,29,5.02,0,0,
2021-01-18,2021-02-09,0001193125-21-077985,2021-03-11,30,"7.01,9.01",1,0,
2021-02-12,2021-03-16,0001193125-21-076354,2021-03-10,-6,5.02,0,0,
2021-02-12,2021-03-16,0001193125-21-077985,2021-03-11,-5,"7.01,9.01",1,0,
2021-02-12,2021-03-16,0001140361-21-008606,2021-03-16,0,"8.01,9.01",1,0,
2021-02-12,2021-03-16,0001140361-21-009648,2021-03-23,7,"1.01,2.03,8.01,9.01",1,0,
2021-02-12,2021-03-16,0001193125-21-113210,2021-04-12,27,"5.02,7.01,8.01,9.01",1,0,
2021-02-20,2021-03-31,0001193125-21-076354,2021-03-10,-21,5.02,0,0,
2021-02-20,2021-03-31,0001193125-21-077985,2021-03-11,-20,"7.01,9.01",1,0,
2021-02-20,2021-03-31,0001140361-21-008606,2021-03-16,-15,"8.01,9.01",1,0,
2021-02-20,2021-03-31,0001140361-21-009648,2021-03-23,-8,"1.01,2.03,8.01,9.01",1,0,
2021-02-20,2021-03-31,0001193125-21-113210,2021-04-12,12,"5.02,7.01,8.01,9.01",1,0,
2021-03-01,2021-08-16,0001283699-21-000142,2021-07-29,-18,"2.02,9.01",0,0,
2021-03-01,2021-08-16,0001193125-21-246174,2021-08-13,-3,"1.01,2.03,8.01,9.01",1,0,
2021-03-01,2021-08-16,0001193125-21-248002,2021-08-16,0,7.01,1,1,"[d131772d8k.htm] We have determined that unauthorized access to some T-Mobile data occurred, however we have not yet determined that there is any personal customer data involved."
