cik,form,filing_date,items,accession,primary_doc,local_file,on_disk
43196,8-K,2021-02-25,"5.02,7.01,8.01,9.01",0001193125-21-057034,d139576d8k.htm,Data\edgar\item5_02_text\43196\0001193125-21-057034_d139576d8k.htm,1
43196,8-K,2022-03-01,"5.02,7.01,9.01",0001437749-22-004783,gtn20220301_8k.htm,Data\edgar\item5_02_text\43196\0001437749-22-004783_gtn20220301_8k.htm,1
43196,8-K,2022-05-06,"5.02,5.07",0001437749-22-011229,gtn20220505b_8k.htm,Data\edgar\item5_02_text\43196\0001437749-22-011229_gtn20220505b_8k.htm,1
47111,8-K,2023-02-06,"5.02,9.01",0000047111-23-000006,hsy-20230202.htm,Data\edgar\item5_02_text\47111\0000047111-23-000006_hsy-20230202.htm,1
47217,8-K,2005-09-28,"1.01,5.02,5.03,9.01",0000047217-05-000167,form8-k_092705.htm,Data\edgar\item5_02_text\47217\0000047217-05-000167_form8-k_092705.htm,1
47217,8-K,2005-11-23,"1.01,5.02,5.03,9.01",0001104659-05-057353,a05-20651_18k.htm,Data\edgar\item5_02_text\47217\0001104659-05-057353_a05-20651_18k.htm,1
47217,8-K/A,2006-01-19,5.02,0001104659-06-002894,a06-2808_18ka.htm,Data\edgar\item5_02_text\47217\0001104659-06-002894_a06-2808_18ka.htm,1
47217,8-K,2006-05-22,"5.02,5.03,9.01",0001104659-06-036450,a06-12355_18k.htm,Data\edgar\item5_02_text\47217\0001104659-06-036450_a06-12355_18k.htm,1
47217,8-K,2006-09-12,"5.02,5.03,8.01,9.01",0001104659-06-060568,a06-19530_18k.htm,Data\edgar\item5_02_text\47217\0001104659-06-060568_a06-19530_18k.htm,1
47217,8-K,2006-09-22,"5.02,5.03,9.01",0001104659-06-062623,a06-20135_18k.htm,Data\edgar\item5_02_text\47217\0001104659-06-062623_a06-20135_18k.htm,1
47217,8-K,2006-11-17,"5.02,5.03,9.01",0001104659-06-075980,a06-24249_18k.htm,Data\edgar\item5_02_text\47217\0001104659-06-075980_a06-24249_18k.htm,1
47217,8-K/A,2006-11-28,5.02,0001104659-06-078068,a06-24620_18ka.htm,Data\edgar\item5_02_text\47217\0001104659-06-078068_a06-24620_18ka.htm,1
47217,8-K,2006-12-11,"5.02,9.01",0001104659-06-080577,a06-25366_18k.htm,Data\edgar\item5_02_text\47217\0001104659-06-080577_a06-25366_18k.htm,1
47217,8-K,2007-01-23,"5.02,5.03,9.01",0001104659-07-003960,a07-2312_18k.htm,Data\edgar\item5_02_text\47217\0001104659-07-003960_a07-2312_18k.htm,1
47217,8-K,2007-05-18,"5.02,5.03,9.01",0001104659-07-041277,a07-14585_18k.htm,Data\edgar\item5_02_text\47217\0001104659-07-041277_a07-14585_18k.htm,1
47217,8-K,2008-01-24,"5.02,9.01",0001104659-08-004386,a08-3596_18k.htm,Data\edgar\item5_02_text\47217\0001104659-08-004386_a08-3596_18k.htm,1
47217,8-K,2008-05-20,"2.02,5.02,9.01",0000047217-08-000117,q2form8-k_0508.htm,Data\edgar\item5_02_text\47217\0000047217-08-000117_q2form8-k_0508.htm,1
47217,8-K,2008-08-27,"5.02,9.01",0001104659-08-055465,a08-22416_18k.htm,Data\edgar\item5_02_text\47217\0001104659-08-055465_a08-22416_18k.htm,1
47217,8-K,2008-09-24,5.02,0001104659-08-060212,a08-24087_18k.htm,Data\edgar\item5_02_text\47217\0001104659-08-060212_a08-24087_18k.htm,1
47217,8-K,2009-01-20,"5.02,5.03,9.01",0000047217-09-000003,bylawsform8-k_0109.htm,Data\edgar\item5_02_text\47217\0000047217-09-000003_bylawsform8-k_0109.htm,1
47217,8-K,2009-09-17,"5.02,5.03,9.01",0000047217-09-000032,form8-k_091709.htm,Data\edgar\item5_02_text\47217\0000047217-09-000032_form8-k_091709.htm,1
47217,8-K,2010-03-23,"5.02,5.07,9.01",0001104659-10-015887,a10-6739_18k.htm,Data\edgar\item5_02_text\47217\0001104659-10-015887_a10-6739_18k.htm,1
47217,8-K,2010-08-06,"2.02,5.02,5.03,9.01",0001047469-10-007177,a2199755z8-k.htm,Data\edgar\item5_02_text\47217\0001047469-10-007177_a2199755z8-k.htm,1
51143,8-K,2005-04-01,5.02,0001104659-05-014582,a05-5804_28k.htm,Data\edgar\item5_02_text\51143\0001104659-05-014582_a05-5804_28k.htm,1
51143,8-K,2005-09-27,"5.02,5.03",0001104659-05-045904,a05-16528_18k.htm,Data\edgar\item5_02_text\51143\0001104659-05-045904_a05-16528_18k.htm,1
51143,8-K,2006-01-31,5.02,0001104659-06-004976,a06-2706_38k.htm,Data\edgar\item5_02_text\51143\0001104659-06-004976_a06-2706_38k.htm,1
