final_cik,breach_date,org_name,treated,outcome_cik,last_filing,status,t0_rd,censored_30_rd,days_uncovered_30_rd,censored_90_rd,days_uncovered_90_rd,censored_180_rd,days_uncovered_180_rd,never_covered_rd,t0_bd,censored_30_bd,days_uncovered_30_bd,censored_90_bd,days_uncovered_90_bd,censored_180_bd,days_uncovered_180_bd,never_covered_bd
354190,2017-06-01,Gallagher NAC,0,354190,2026-07-30,ok,2017-11-13,0,0,0,0,0,0,0,2017-06-01,0,0,0,0,0,0,0
354190,2017-06-18,Gallagher NAC,0,354190,2026-07-30,ok,2017-11-13,0,0,0,0,0,0,0,2017-06-18,0,0,0,0,0,0,0
354950,2014-02-10,The Home Depot,0,354950,2026-06-24,ok,2014-03-14,0,0,0,0,0,0,0,2014-02-10,0,0,0,0,0,0,0
708818,2023-03-29,"NextGen Healthcare, Inc.",0,708818,2023-11-20,ok,2023-04-28,0,0,0,0,0,0,0,2023-03-29,0,0,0,0,0,0,0
723254,2020-09-16,Cintas Corporation,0,723254,2026-08-03,ok,2021-02-18,0,0,0,0,0,0,0,2020-09-16,0,0,0,0,0,0,0
731766,2024-02-12,Change Healthcare Inc.,0,731766,2026-07-16,ok,2024-08-03,0,0,0,0,0,0,0,2024-02-12,0,0,0,0,0,0,0
732712,2008-06-27,Verizon,1,732712,2026-08-03,ok,2008-06-27,0,0,0,0,0,0,0,2008-06-27,0,0,0,0,0,0,0
732712,2014-01-20,Verizon Corporate Services Group Inc.,1,732712,2026-08-03,ok,2014-02-25,0,0,0,0,0,0,0,2014-01-20,0,0,0,0,0,0,0
732712,2014-02-26,Verizon,1,732712,2026-08-03,ok,2014-02-26,0,0,0,0,0,0,0,2014-02-26,0,0,0,0,0,0,0
732712,2016-08-10,Verizon,1,732712,2026-08-03,ok,2017-07-20,0,0,0,0,0,0,0,2016-08-10,0,0,0,0,0,0,0
732712,2017-07-20,Verizon,1,732712,2026-08-03,ok,2017-07-20,0,0,0,0,0,0,0,2017-07-20,0,0,0,0,0,0,0
732712,2019-03-12,Verizon Media,0,732712,2026-08-03,ok,2019-10-07,0,0,0,0,0,0,0,2019-03-12,0,0,0,0,0,0,0
732712,2019-04-24,Verizon,1,732712,2026-08-03,ok,2019-05-31,0,0,0,0,0,0,0,2019-04-24,0,0,0,0,0,0,0
732712,2019-06-03,Verizon,1,732712,2026-08-03,ok,2019-06-03,0,0,0,0,0,0,0,2019-06-03,0,0,0,0,0,0,0
732712,2023-05-11,Verizon,1,732712,2026-08-03,ok,2023-05-11,0,0,0,0,0,0,0,2023-05-11,0,0,0,0,0,0,0
732712,2023-09-21,Verizon Communications Inc.,1,732712,2026-08-03,ok,2024-02-05,0,0,0,0,0,0,0,2023-09-21,0,0,0,0,0,0,0
732712,2024-02-06,Verizon Communications Inc.,1,732712,2026-08-03,ok,2024-02-06,0,0,0,0,0,0,0,2024-02-06,0,0,0,0,0,0,0
732717,2008-05-23,AT&T,1,732717,2026-08-04,ok,2008-05-23,0,0,0,0,0,0,0,2008-05-23,0,0,0,0,0,0,0
732717,2012-01-01,AT&T,1,732717,2026-08-04,ok,2012-02-13,0,0,0,0,0,0,0,2012-01-01,0,0,0,0,0,0,0
