window,final_cik,name,treated_cluster,n_events,coef_without,share,sign_flip
180,354190,Gallagher NAC,0,2,0.0214,0.0002,0
180,354950,The Home Depot,0,1,0.027,0.0017,0
180,708818,"NextGen Healthcare, Inc.",0,1,0.0238,0.0001,0
180,718877,"Activision Publishing, Inc.",0,2,0.0223,0.0,0
180,723254,Cintas Corporation,0,1,0.0232,0.0,0
180,728535,"J.B. Hunt Transport, Inc.",0,2,0.0225,0.0,0
180,731766,Change Healthcare Inc.,0,1,0.0194,0.0012,0
180,732712,Verizon,1,11,0.0074,0.0233,0
180,732717,AT&T,1,26,0.0536,0.0942,0
180,764180,"Altria Group, Inc.",0,1,0.0204,0.0005,0
180,771497,ABM Industries Incorporated,0,1,0.0226,0.0,0
180,773840,Honeywell International Inc.,0,3,0.0213,0.0002,0
180,789019,Microsoft Corporation,0,5,0.0193,0.0012,0
180,789570,MGM Resorts International,0,2,0.0251,0.0005,0
180,790070,EMC Corporation,0,1,0.0214,0.0002,0
180,796343,Adobe Systems Incorporated,0,3,0.022,0.0001,0
180,798354,"Fiserv, Inc.",0,3,0.0248,0.0004,0
180,815097,Carnival Corporation,0,2,0.0287,0.0034,0
180,823768,"USA Waste-Management Resources, LLC",0,1,0.0225,0.0,0
180,831259,Freeport-McMoRan Inc.,0,1,0.0274,0.0021,0
180,858877,"Cisco Systems, Inc.",0,2,0.0191,0.0013,0
180,860731,"Tyler Technologies, Inc.",0,1,0.0235,0.0001,0
180,872589,"Regeneron Pharmaceuticals, Inc.",0,1,0.0235,0.0,0
180,877890,Citrix Systems Inc.,0,3,0.0287,0.0035,0
180,892553,"Chart Industries, Inc.",0,1,0.0238,0.0001,0
180,896878,"Intuit, Inc.",0,78,0.0199,0.0008,0
180,908937,Sirius XM Radio Inc.,0,15,0.0019,0.0429,0
180,920522,"Essex Property Trust, Inc.",0,1,0.0232,0.0,0
180,920760,Lennar Corporation,0,1,0.0219,0.0001,0
180,943452,Wabtec Corporation,0,1,0.0221,0.0,0
180,1000228,"Henry Schein, Inc.",0,1,0.0236,0.0001,0
180,1001082,"DISH Network, LLC",1,2,0.0051,0.0309,0
180,1001250,The Est̩e Lauder Companies Inc.,0,3,0.0187,0.0017,0
180,1002517,"Nuance Communications, Inc.",0,1,0.0192,0.0012,0
180,1041061,"Yum! Brands, Inc.",0,1,0.0331,0.0105,0
180,1048911,"FedEx Ground Package System, Inc.",0,1,0.0219,0.0001,0
180,1051470,Crown Castle,0,2,0.0202,0.0006,0
180,1058290,Cognizant Technology Solutions Corporation,0,1,0.0225,0.0,0
180,1060391,Republic Services,0,5,0.0264,0.0013,0
180,1067837,Entercom Communications Corp.,0,1,0.0225,0.0,0
180,1091667,"Charter Communications, Inc.",1,8,0.0378,0.0223,0
180,1105705,Time Warner Inc.,0,8,0.006,0.0279,0
180,1108524,Salesforce.com,0,1,0.0196,0.001,0
180,1113169,"T. Rowe Price Retirement Plan Services, Inc.",0,2,0.0241,0.0002,0
180,1123360,"Global Payments, Inc.",0,2,0.0208,0.0004,0
180,1124610,"VMware, Inc.",0,2,0.0263,0.0012,0
180,1133421,Northrop Grumman Systems Corporation,0,1,0.0269,0.0017,0
180,1136893,"Fidelity National Information Services, Inc.",0,12,0.0545,0.0996,0
180,1137789,Seagate US LLC,0,3,0.0252,0.0006,0
180,1140859,"Cencora, Inc.",0,3,0.0175,0.0027,0
180,1166691,Comcast,1,12,0.0622,0.1535,0
180,1180262,"Herbalife International of America, Inc.",0,1,0.0218,0.0001,0
180,1283699,"T-Mobile USA, Inc.",1,26,-0.0363,0.3452,1
180,1326160,Duke Energy Corporation,0,3,0.025,0.0005,0
180,1326801,Facebook,0,3,0.0287,0.0035,0
180,1336920,"Leidos, Inc.",0,1,0.0232,0.0,0
180,1341439,Oracle Corporation,0,1,0.021,0.0003,0
180,1373715,ServiceNow Inc.,0,1,0.0253,0.0006,0
180,1387467,Alpha & Omega Semiconductor,0,1,0.0231,0.0,0
180,1397911,LPL Financial LLC,0,1,0.0223,0.0,0
180,1400891,"iHeartMedia + Entertainment, Inc.",0,1,0.0226,0.0,0
180,1428439,Roku Inc.,0,3,0.0226,0.0,0
180,1447669,Twilio,1,2,0.0343,0.0132,0
180,1472787,First American Financial Corporation,0,1,0.0229,0.0,0
180,1501585,"Huntington Ingalls Industries, Inc.",0,1,0.023,0.0,0
180,1510295,Marathon Petroleum Company LP,0,1,0.0273,0.002,0
180,1512673,Block Inc,0,1,0.0215,0.0002,0
180,1535527,"CrowdStrike Holdings, Inc.",0,2,0.0222,0.0,0
180,1543151,"Uber Technologies, Inc.",0,3,0.0359,0.0171,0
180,1553023,"CyrusOne, Inc.",0,1,0.0219,0.0001,0
180,1564408,Snap Inc.,0,1,0.0238,0.0001,0
180,1590895,"Caesars Entertainment, Inc.",0,1,0.0208,0.0004,0
180,1609711,GoDaddy.com LLC,1,3,0.0334,0.0112,0
180,1632127,"Cable One, Inc.",1,2,0.0283,0.003,0
180,1640147,Snowflake Inc.,0,2,0.0224,0.0,0
180,1645590,Hewlett Packard Enterprise Company,0,1,0.0209,0.0003,0
180,1647088,WillScot Mobile Mini Holdings Corp.,0,1,0.0232,0.0,0
180,1652044,"Google, Inc.",0,5,0.0284,0.0032,0
180,1660134,"Okta, Inc.",0,3,0.0223,0.0,0
180,1669779,CWGS Group,0,1,0.0244,0.0003,0
180,1702780,"Altice USA, Inc.",1,2,0.0285,0.0033,0
180,1744489,The Walt Disney Company,0,1,0.0212,0.0002,0
180,1770450,Xerox Corporation,0,1,0.0218,0.0001,0
180,1889539,"Corebridge Financial, Inc.",0,1,0.0332,0.0107,0
180,1971213,"Sinclair Broadcast Group, Inc.",0,3,0.0171,0.0032,0
180,2041610,Paramount,0,2,0.0186,0.0017,0
