window,final_cik,name,treated_cluster,n_events,coef_without,share,sign_flip
30,860731,"Tyler Technologies, Inc.",0,1,0.0034,0.0,0
30,872589,"Regeneron Pharmaceuticals, Inc.",0,1,0.0034,0.0,0
30,877890,Citrix Systems Inc.,0,3,0.0031,0.0,0
30,892553,"Chart Industries, Inc.",0,1,0.0035,0.0001,0
30,896878,"Intuit, Inc.",0,78,0.0008,0.005,0
30,908937,Sirius XM Radio Inc.,0,15,-0.0022,0.0254,1
30,920522,"Essex Property Trust, Inc.",0,1,0.0032,0.0,0
30,920760,Lennar Corporation,0,1,0.0031,0.0,0
30,943452,Wabtec Corporation,0,1,0.0031,0.0,0
30,1000228,"Henry Schein, Inc.",0,1,0.0032,0.0,0
30,1001082,"DISH Network, LLC",1,2,0.0042,0.0008,0
30,1001250,The Est̩e Lauder Companies Inc.,0,3,0.0026,0.0003,0
30,1002517,"Nuance Communications, Inc.",0,1,0.0032,0.0,0
30,1041061,"Yum! Brands, Inc.",0,1,0.0026,0.0003,0
30,1048911,"FedEx Ground Package System, Inc.",0,1,0.0031,0.0,0
30,1051470,Crown Castle,0,2,0.0028,0.0002,0
30,1058290,Cognizant Technology Solutions Corporation,0,1,0.0032,0.0,0
30,1060391,Republic Services,0,5,0.0024,0.0006,0
30,1067837,Entercom Communications Corp.,0,1,0.0032,0.0,0
30,1091667,"Charter Communications, Inc.",1,8,0.0071,0.0129,0
30,1105705,Time Warner Inc.,0,8,0.001,0.0042,0
30,1108524,Salesforce.com,0,1,-0.0003,0.0107,1
30,1113169,"T. Rowe Price Retirement Plan Services, Inc.",0,2,0.0035,0.0001,0
30,1123360,"Global Payments, Inc.",0,2,0.0004,0.0071,0
30,1124610,"VMware, Inc.",0,2,0.003,0.0,0
30,1133421,Northrop Grumman Systems Corporation,0,1,0.003,0.0001,0
30,1136893,"Fidelity National Information Services, Inc.",0,12,0.0194,0.2251,0
30,1137789,Seagate US LLC,0,3,0.0067,0.0105,0
30,1140859,"Cencora, Inc.",0,3,0.0027,0.0002,0
30,1166691,Comcast,1,12,0.005,0.0028,0
30,1180262,"Herbalife International of America, Inc.",0,1,0.0029,0.0001,0
30,1283699,"T-Mobile USA, Inc.",1,26,-0.0176,0.3731,1
30,1326160,Duke Energy Corporation,0,3,0.0024,0.0007,0
30,1326801,Facebook,0,3,0.003,0.0001,0
30,1336920,"Leidos, Inc.",0,1,0.0032,0.0,0
30,1341439,Oracle Corporation,0,1,0.003,0.0,0
30,1373715,ServiceNow Inc.,0,1,0.0031,0.0,0
30,1387467,Alpha & Omega Semiconductor,0,1,0.0034,0.0,0
30,1397911,LPL Financial LLC,0,1,0.0031,0.0,0
30,1400891,"iHeartMedia + Entertainment, Inc.",0,1,0.0032,0.0,0
30,1428439,Roku Inc.,0,3,0.0032,0.0,0
30,1447669,Twilio,1,2,0.004,0.0006,0
30,1472787,First American Financial Corporation,0,1,0.0032,0.0,0
30,1501585,"Huntington Ingalls Industries, Inc.",0,1,0.0032,0.0,0
30,1510295,Marathon Petroleum Company LP,0,1,0.003,0.0,0
30,1512673,Block Inc,0,1,0.0031,0.0,0
30,1535527,"CrowdStrike Holdings, Inc.",0,2,0.0031,0.0,0
30,1543151,"Uber Technologies, Inc.",0,3,0.0026,0.0003,0
30,1553023,"CyrusOne, Inc.",0,1,0.0032,0.0,0
30,1564408,Snap Inc.,0,1,0.0032,0.0,0
30,1590895,"Caesars Entertainment, Inc.",0,1,0.0029,0.0001,0
30,1609711,GoDaddy.com LLC,1,3,0.0053,0.0037,0
30,1632127,"Cable One, Inc.",1,2,0.0052,0.0035,0
30,1640147,Snowflake Inc.,0,2,0.0032,0.0,0
30,1645590,Hewlett Packard Enterprise Company,0,1,0.003,0.0001,0
30,1647088,WillScot Mobile Mini Holdings Corp.,0,1,0.0032,0.0,0
30,1652044,"Google, Inc.",0,5,0.0025,0.0005,0
30,1660134,"Okta, Inc.",0,3,0.0031,0.0,0
30,1669779,CWGS Group,0,1,0.0052,0.0033,0
30,1702780,"Altice USA, Inc.",1,2,0.0041,0.0006,0
30,1744489,The Walt Disney Company,0,1,0.003,0.0,0
30,1770450,Xerox Corporation,0,1,0.0031,0.0,0
30,1889539,"Corebridge Financial, Inc.",0,1,0.0179,0.1843,0
30,1971213,"Sinclair Broadcast Group, Inc.",0,3,0.0024,0.0006,0
30,2041610,Paramount,0,2,0.0028,0.0002,0
90,4904,American Electric Power,0,2,-0.0404,0.0004,0
90,8670,"Automatic Data Processing, Inc.",0,1,-0.0398,0.0002,0
90,12927,The Boeing Company,0,1,-0.0404,0.0004,0
90,14693,Brown-Forman Corporation,0,1,-0.0388,0.0,0
90,18926,CenturyLink,1,5,-0.033,0.0052,0
90,20520,Frontier Communications,1,4,-0.0498,0.0191,0
90,27904,"Delta Air Lines, Inc.",0,2,-0.0407,0.0006,0
90,27996,Deluxe Corporation,0,1,-0.0387,0.0,0
90,33185,"Equifax, Inc.",0,4,-0.0413,0.001,0
90,40704,"General Mills, Inc.",0,1,-0.0395,0.0001,0
90,43196,"Gray Television, Inc.",0,3,-0.039,0.0,0
90,47111,The Hershey Company,0,1,-0.0384,0.0,0
