final_cik,breach_date,treated,outcome_cik,accession,filing_date,win_lo,win_hi
27904,2017-09-26,0,27904,0001683168-16-000288,2016-10-11,2015-09-27,2018-10-10
27904,2017-09-26,0,27904,0001019687-16-006642,2016-06-10,2015-09-27,2018-10-10
27904,2017-09-26,0,27904,0001019687-16-005064,2016-02-05,2015-09-27,2018-10-10
27996,2019-08-13,0,27996,0000027996-20-000020,2020-02-20,2017-08-13,2020-03-01
27996,2019-08-13,0,27996,0000027996-19-000085,2019-07-22,2017-08-13,2020-03-01
27996,2019-08-13,0,27996,0000027996-19-000082,2019-06-18,2017-08-13,2020-03-01
27996,2019-08-13,0,27996,0000027996-19-000039,2019-03-12,2017-08-13,2020-03-01
27996,2019-08-13,0,27996,0000027996-19-000012,2019-01-25,2017-08-13,2020-03-01
27996,2019-08-13,0,27996,0001140361-18-042450,2018-11-06,2017-08-13,2020-03-01
27996,2019-08-13,0,27996,0001140361-18-019659,2018-04-26,2017-08-13,2020-03-01
33185,2014-01-31,0,33185,0001144204-14-029598,2014-05-12,2012-02-01,2014-09-01
33185,2014-01-31,0,33185,0001144204-13-055259,2013-10-15,2012-02-01,2014-09-01
33185,2014-01-31,0,33185,0001144204-13-027066,2013-05-08,2012-02-01,2014-09-01
33185,2014-01-31,0,33185,0001144204-12-058285,2012-10-29,2012-02-01,2014-09-01
33185,2014-01-31,0,33185,0001144204-12-009385,2012-02-15,2012-02-01,2014-09-01
33185,2016-01-01,0,33185,0001193125-17-320321,2017-10-26,2014-01-01,2017-11-11
33185,2016-01-01,0,33185,0001193125-17-301130,2017-10-02,2014-01-01,2017-11-11
33185,2016-01-01,0,33185,0001193125-17-293765,2017-09-26,2014-01-01,2017-11-11
33185,2016-01-01,0,33185,0001193125-16-771552,2016-11-18,2014-01-01,2017-11-11
33185,2016-01-01,0,33185,0001193125-16-713479,2016-09-19,2014-01-01,2017-11-11
33185,2016-01-01,0,33185,0001144204-14-029598,2014-05-12,2014-01-01,2017-11-11
33185,2016-04-18,0,33185,0001193125-17-320321,2017-10-26,2014-04-19,2018-01-17
33185,2016-04-18,0,33185,0001193125-17-301130,2017-10-02,2014-04-19,2018-01-17
33185,2016-04-18,0,33185,0001193125-17-293765,2017-09-26,2014-04-19,2018-01-17
33185,2016-04-18,0,33185,0001193125-16-771552,2016-11-18,2014-04-19,2018-01-17
33185,2016-04-18,0,33185,0001193125-16-713479,2016-09-19,2014-04-19,2018-01-17
33185,2016-04-18,0,33185,0001144204-14-029598,2014-05-12,2014-04-19,2018-01-17
33185,2017-03-09,0,33185,0001193125-17-320321,2017-10-26,2015-03-10,2017-11-15
33185,2017-03-09,0,33185,0001193125-17-301130,2017-10-02,2015-03-10,2017-11-15
33185,2017-03-09,0,33185,0001193125-17-293765,2017-09-26,2015-03-10,2017-11-15
33185,2017-03-09,0,33185,0001193125-16-771552,2016-11-18,2015-03-10,2017-11-15
33185,2017-03-09,0,33185,0001193125-16-713479,2016-09-19,2015-03-10,2017-11-15
40704,2022-11-18,0,40704,0001193125-23-137156,2023-05-05,2020-11-18,2023-07-11
40704,2022-11-18,0,40704,0001193125-22-255620,2022-09-30,2020-11-18,2023-07-11
40704,2022-11-18,0,40704,0001193125-22-185819,2022-06-30,2020-11-18,2023-07-11
40704,2022-11-18,0,40704,0001193125-21-350290,2021-12-07,2020-11-18,2023-07-11
40704,2022-11-18,0,40704,0001564590-21-037515,2021-07-22,2020-11-18,2023-07-11
43196,2016-02-16,0,43196,0001437749-17-000933,2017-01-20,2014-02-16,2017-02-27
43196,2016-02-16,0,43196,0001437749-16-038936,2016-09-21,2014-02-16,2017-02-27
43196,2016-02-16,0,43196,0001437749-16-034694,2016-06-30,2014-02-16,2017-02-27
43196,2016-02-16,0,43196,0001437749-16-024501,2016-02-02,2014-02-16,2017-02-27
43196,2016-02-16,0,43196,0001437749-15-014446,2015-07-31,2014-02-16,2017-02-27
43196,2016-08-08,0,43196,0001437749-17-000933,2017-01-20,2014-08-09,2017-02-27
43196,2016-08-08,0,43196,0001437749-16-038936,2016-09-21,2014-08-09,2017-02-27
43196,2016-08-08,0,43196,0001437749-16-034694,2016-06-30,2014-08-09,2017-02-27
