cik,breach_date,executive_change_30d,executive_change_90d,executive_change_180d,num_item5_02_filings_180d,days_to_first_item_5_02
1136893,2023-05-31,0.0,1.0,1.0,1.0,83.0
1136893,2023-06-26,0.0,1.0,1.0,1.0,57.0
1136893,2023-07-17,0.0,1.0,1.0,1.0,36.0
1136893,2023-05-01,1.0,1.0,1.0,2.0,25.0
1136893,2023-09-08,0.0,0.0,1.0,2.0,146.0
1136893,2023-11-20,0.0,1.0,1.0,4.0,73.0
1136893,2007-09-24,0.0,1.0,1.0,2.0,53.0
1136893,2023-05-27,0.0,1.0,1.0,1.0,87.0
1136893,2023-10-06,0.0,0.0,1.0,3.0,118.0
1136893,2023-05-29,0.0,1.0,1.0,1.0,85.0
1136893,2023-06-21,0.0,1.0,1.0,1.0,62.0
1136893,2023-11-09,0.0,1.0,1.0,4.0,84.0
1136893,2023-07-21,0.0,1.0,1.0,1.0,32.0
1136893,2011-06-10,0.0,0.0,0.0,0.0,
713676,2024-02-14,1.0,1.0,1.0,2.0,6.0
713676,2024-02-09,1.0,1.0,1.0,2.0,11.0
713676,2023-09-28,0.0,0.0,1.0,1.0,145.0
713676,2023-12-18,0.0,1.0,1.0,2.0,64.0
798354,2021-09-25,0.0,1.0,1.0,2.0,51.0
798354,2023-12-06,1.0,1.0,1.0,4.0,0.0
798354,2008-12-02,1.0,1.0,1.0,1.0,21.0
1065696,2023-01-25,0.0,1.0,1.0,1.0,43.0
5272,2023-05-30,1.0,1.0,1.0,2.0,24.0
1034054,2021-10-12,0.0,0.0,1.0,1.0,168.0
1034054,2025-01-14,0.0,0.0,0.0,0.0,
1308161,2009-04-09,0.0,1.0,1.0,4.0,55.0
1308161,2009-04-15,0.0,1.0,1.0,4.0,49.0
1308161,2010-02-08,0.0,0.0,1.0,1.0,176.0
1308161,2018-03-13,0.0,1.0,1.0,2.0,45.0
5272,2021-10-18,1.0,1.0,1.0,4.0,9.0
713676,2019-12-01,0.0,1.0,1.0,2.0,81.0
831259,2023-08-08,0.0,0.0,0.0,0.0,
20520,2022-02-24,0.0,0.0,1.0,1.0,120.0
20520,2023-12-18,0.0,1.0,1.0,2.0,49.0
20520,2024-04-13,0.0,1.0,1.0,1.0,37.0
20520,2024-04-14,0.0,1.0,1.0,1.0,36.0
20520,2024-06-10,0.0,0.0,0.0,0.0,
20520,2024-06-12,0.0,0.0,0.0,0.0,
354190,2017-06-01,0.0,0.0,0.0,0.0,
354190,2017-06-18,0.0,0.0,0.0,0.0,
874761,2023-02-11,0.0,0.0,1.0,2.0,129.0
874761,2023-02-07,0.0,0.0,1.0,2.0,133.0
1136893,2023-09-11,0.0,0.0,1.0,2.0,143.0
40533,2018-10-31,0.0,0.0,1.0,2.0,126.0
40704,2022-11-18,0.0,0.0,1.0,1.0,168.0
927628,2020-12-08,0.0,1.0,1.0,4.0,62.0
1385157,2024-05-20,0.0,0.0,1.0,3.0,120.0
1123360,2012-07-25,0.0,0.0,0.0,0.0,
1123360,2012-06-22,1.0,1.0,1.0,1.0,26.0
1609711,2021-09-06,0.0,0.0,1.0,3.0,91.0
1609711,2013-01-30,0.0,0.0,0.0,0.0,
1609711,2012-08-18,0.0,0.0,0.0,0.0,
1609711,2019-10-19,0.0,1.0,1.0,2.0,48.0
1609711,2019-10-16,0.0,1.0,1.0,2.0,51.0
1609711,2021-09-06,0.0,0.0,1.0,3.0,91.0
1609711,2022-03-14,0.0,0.0,1.0,1.0,116.0
1652044,2016-08-10,0.0,0.0,0.0,0.0,
1652044,2016-03-29,0.0,1.0,1.0,2.0,73.0
1652044,2016-08-10,0.0,0.0,0.0,0.0,
1652044,2016-05-06,0.0,1.0,1.0,2.0,35.0
1652044,2008-06-27,0.0,0.0,0.0,0.0,
1652044,2017-06-29,1.0,1.0,1.0,2.0,25.0
927628,2023-04-20,1.0,1.0,1.0,1.0,19.0
879585,2016-08-08,0.0,0.0,0.0,0.0,
879585,2016-08-10,0.0,0.0,0.0,0.0,
879585,2021-09-01,0.0,0.0,0.0,0.0,
879585,2016-02-16,1.0,1.0,1.0,2.0,16.0
879585,2016-08-12,0.0,0.0,0.0,0.0,
879585,2018-04-01,1.0,1.0,1.0,1.0,18.0
19617,2022-02-01,0.0,0.0,1.0,1.0,168.0
47217,2023-05-14,0.0,0.0,1.0,1.0,130.0
1932393,2020-04-12,0.0,0.0,0.0,0.0,
1932393,2020-04-13,0.0,0.0,0.0,0.0,
1000228,2023-09-27,0.0,1.0,1.0,2.0,50.0
70858,2022-02-01,1.0,1.0,1.0,1.0,24.0
47111,2015-02-01,1.0,1.0,1.0,2.0,26.0
1645590,2007-08-16,0.0,0.0,0.0,0.0,
1645590,2023-12-12,1.0,1.0,1.0,5.0,3.0
1645590,2025-02-05,0.0,1.0,1.0,2.0,58.0
1645590,2010-02-09,0.0,0.0,0.0,0.0,
1645590,2007-07-01,0.0,0.0,0.0,0.0,
1645590,2008-12-08,0.0,0.0,0.0,0.0,
1645590,2008-12-04,0.0,0.0,0.0,0.0,
5272,2021-04-01,0.0,1.0,1.0,2.0,42.0
1755336,2017-05-15,,,,,
1755336,2017-05-15,,,,,
1755336,2017-07-23,,,,,
1755336,2017-10-30,,,,,
773840,2021-02-16,0.0,0.0,1.0,1.0,148.0
773840,2023-06-03,1.0,1.0,1.0,3.0,12.0
773840,2023-05-27,1.0,1.0,1.0,2.0,19.0
773840,2023-05-27,1.0,1.0,1.0,2.0,19.0
1932393,2024-12-26,0.0,0.0,0.0,0.0,
70858,2021-03-15,0.0,1.0,1.0,2.0,38.0
1645590,2012-12-28,0.0,0.0,0.0,0.0,
1645590,2016-09-16,0.0,0.0,1.0,2.0,123.0
1645590,2016-11-07,0.0,1.0,1.0,3.0,71.0
1324404,2022-08-18,0.0,0.0,1.0,1.0,119.0
713676,2025-07-18,0.0,0.0,0.0,0.0,
1501585,2022-03-01,1.0,1.0,1.0,4.0,3.0
